smoothed_dc,smoothed_dc_se,sample_size,country,region,iso_code,gid_0,gid_1,survey_date
0.281639,0.019483,789.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201101
0.281973,0.01935,820.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201102
0.297033,0.020172,804.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201103
0.290537,0.020114,793.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201104
0.28301,0.020195,786.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201105
0.277676,0.019843,812.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201106
0.253969,0.018769,828.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201107
0.251631,0.019145,811.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201108
0.264727,0.019315,815.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201109
0.256578,0.01881,843.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201110
0.249898,0.018653,839.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201111
0.244588,0.018332,843.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201112
0.233577,0.018105,830.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201113
0.225351,0.018419,791.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201114
0.225619,0.018006,813.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201115
0.221474,0.018095,786.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201116
0.228388,0.018505,771.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201117
0.224619,0.017417,836.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201118
0.229435,0.016917,908.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201119
0.233785,0.016379,1016.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201120
0.246761,0.016149,1114.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201121
0.244384,0.015654,1206.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201122
0.207132,0.035004,227.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201123
0.204837,0.024844,464.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201124
0.206847,0.02007,673.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201125
0.209542,0.017433,882.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201126
0.198431,0.014888,1117.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201127
0.196434,0.013489,1387.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201128
0.198031,0.012333,1643.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201129
0.195554,0.01212,1667.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201130
0.192826,0.011753,1685.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201201
0.190495,0.011711,1711.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201202
0.201765,0.011768,1760.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201203
0.205928,0.012095,1784.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201204
0.208818,0.012061,1761.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201205
0.213029,0.012394,1731.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201206
0.214523,0.012405,1713.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201207
0.218624,0.012659,1683.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201208
0.231,0.01293,1669.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201209
0.221994,0.013079,1624.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201210
0.220489,0.013016,1576.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201211
0.231358,0.013401,1535.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201212
0.227173,0.013104,1527.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201213
0.239597,0.013241,1596.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201214
0.23296,0.012865,1636.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201215
0.231823,0.012913,1643.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201216
0.2342,0.012988,1632.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201217
0.248322,0.0133,1620.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201218
0.24584,0.013335,1620.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201219
0.253303,0.013759,1587.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201220
0.240757,0.013936,1469.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201221
0.255678,0.014636,1435.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201222
0.259371,0.01457,1428.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201223
0.25661,0.014246,1482.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201224
0.255743,0.014536,1465.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201225
0.247146,0.014347,1450.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201226
0.251211,0.014463,1456.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201227
0.264262,0.014909,1440.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201228
0.258094,0.014762,1386.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201229
0.233705,0.01424,1334.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201230
0.239116,0.014927,1228.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201231
0.243961,0.015169,1180.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210101
0.247276,0.015551,1157.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210102
0.234344,0.015379,1131.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210103
0.23147,0.015263,1132.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210104
0.23531,0.015616,1138.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210105
0.239837,0.015952,1145.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210106
0.242836,0.015809,1154.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210107
0.234954,0.015335,1165.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210108
0.241593,0.015456,1144.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210109
0.24815,0.015525,1125.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210110
0.251354,0.015608,1105.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210111
0.248396,0.015608,1082.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210112
0.261681,0.016162,1035.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210113
0.258981,0.016166,1017.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210114
0.262455,0.016448,1013.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210115
0.27181,0.016693,1014.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210116
0.268046,0.016482,1028.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210117
0.269304,0.016592,1023.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210118
0.273013,0.016596,1006.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210119
0.27527,0.016722,1007.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210120
0.271211,0.016717,1015.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210121
0.257865,0.016571,1044.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210122
0.236057,0.016088,1067.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210123
0.22949,0.016345,1056.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210124
0.220644,0.016478,1065.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210125
0.20662,0.01628,1075.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210126
0.189824,0.015769,1096.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210127
0.183621,0.015821,1103.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210128
0.18644,0.016136,1047.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210129
0.207725,0.018631,1025.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210130
0.220204,0.019559,1005.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210131
0.233346,0.020555,944.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210201
0.245886,0.022724,862.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210202
0.241443,0.021521,881.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210203
0.235297,0.02107,875.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210204
0.252139,0.021538,900.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210205
0.23919,0.020057,894.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210206
0.231148,0.019516,903.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210207
0.216628,0.019313,928.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210208
0.217002,0.018639,982.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210209
0.228519,0.020348,932.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210210
0.251537,0.021955,901.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210211
0.25266,0.022592,882.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210212
0.256206,0.022607,879.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210213
0.250435,0.022656,855.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210214
0.250209,0.022068,858.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210215
0.262836,0.022458,863.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210216
0.264125,0.022186,873.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210217
0.253817,0.021375,871.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210218
0.236087,0.019679,914.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210219
0.225702,0.018742,940.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210220
0.242909,0.019618,976.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210221
0.250599,0.019357,1024.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210222
0.238805,0.019066,1064.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210223
0.232598,0.018471,1082.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210224
0.239013,0.018576,1124.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210225
0.247356,0.019296,1106.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210226
0.245764,0.019207,1096.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210227
0.238626,0.018742,1088.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210228
0.226322,0.018926,1039.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210301
0.2359,0.019805,993.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210302
0.237187,0.020347,988.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210303
0.228589,0.02049,952.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210304
0.216592,0.01955,930.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210305
0.226761,0.02076,894.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210306
0.215879,0.020627,886.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210307
0.208567,0.0195,912.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210308
0.211088,0.019393,923.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210309
0.21702,0.020062,905.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210310
0.206481,0.018853,917.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210311
0.212919,0.019481,914.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210312
0.209578,0.019088,925.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210313
0.216358,0.019559,910.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210314
0.212194,0.019372,912.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210315
0.204764,0.018329,938.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210316
0.210331,0.018977,975.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210317
0.206993,0.018366,994.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210318
0.215876,0.019483,1026.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210319
0.203689,0.018311,1057.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210320
0.199308,0.018037,1090.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210321
0.206666,0.018366,1109.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210322
0.198911,0.018147,1103.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210323
0.19438,0.017285,1083.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210324
0.198352,0.017814,1078.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210325
0.187642,0.016983,1076.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210326
0.205919,0.018387,1064.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210327
0.20791,0.018235,1072.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210328
0.209469,0.018271,1058.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210329
0.218444,0.018885,1063.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210330
0.214472,0.019235,1082.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210331
0.212513,0.019241,1080.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210401
0.217914,0.019322,1091.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210402
0.204586,0.018717,1089.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210403
0.200982,0.018634,1108.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210404
0.191517,0.018188,1147.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210405
0.190925,0.017878,1187.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210406
0.192652,0.018104,1163.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210407
0.188477,0.018208,1177.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210408
0.176113,0.01751,1143.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210409
0.178323,0.01781,1159.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210410
0.186976,0.01822,1131.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210411
0.187913,0.018168,1114.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210412
0.168131,0.016679,1098.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210413
0.162282,0.015153,1177.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210414
0.159363,0.014078,1260.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210415
0.164958,0.014599,1348.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210416
0.177078,0.014892,1441.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210417
0.167732,0.013683,1574.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210418
0.161937,0.013419,1663.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210419
0.164876,0.01311,1772.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210420
0.166823,0.013578,1838.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210421
0.17329,0.014067,1873.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210422
0.170522,0.013583,1941.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210423
0.150578,0.012373,2016.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210424
0.148077,0.012212,2036.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210425
0.151179,0.011866,2131.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210426
0.148677,0.01185,2206.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210427
0.141453,0.010844,2235.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210428
0.140074,0.010504,2291.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210429
0.140573,0.010686,2288.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210430
0.151251,0.011096,2247.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210501
0.153824,0.011534,2307.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210502
0.154713,0.011705,2306.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210503
0.161202,0.012138,2288.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210504
0.163255,0.012516,2341.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210505
0.153752,0.012094,2375.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210506
0.148085,0.011499,2429.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210507
0.145826,0.011902,2456.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210508
0.139373,0.011427,2404.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210509
0.134813,0.01108,2365.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210510
0.124114,0.010233,2369.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210511
0.12036,0.010158,2327.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210512
0.121404,0.010475,2254.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210513
0.117534,0.010408,2211.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210514
0.108283,0.009356,2187.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210515
0.114555,0.010125,2205.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210516
0.115958,0.010471,2177.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210517
0.118654,0.010662,2132.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210518
0.135829,0.010375,2100.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210519
0.120314,0.011333,1751.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210520
0.125923,0.012892,1476.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210521
0.130953,0.014889,1200.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210522
0.125783,0.015582,886.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210523
0.120626,0.017786,612.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210524
0.126347,0.025763,323.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210525
0.13269,0.040789,114.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210526
0.176906,0.045237,117.0,India,Andhra Pradesh,IND,IND,IND.2_1,20210527
