series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S0,3847702.7078323206,3841931.153770572,3836168.1818466005,3830413.8079648176,3824668.0259586032,3818930.8202829305,3813202.170610682,3807482.0532927155,3801770.4415566195,3796067.305141808,3790372.609616832,3784686.315448362,3779008.3768185196,3773338.740152667,3767677.342298097,3762024.108275372,3756378.9485040638,3750741.755381208,3745112.3990624044,3739490.7222607215,3733876.533835935,3728269.600894211,3722669.639053995,3717076.3004548172,3711489.1589887207,3705907.6921149613,3700331.258472691,3694759.0703274626,3689190.1596684204,3683623.3365051495,3678057.137585876,3672489.7633593315,3666919.000516117,3661342.1268540164,3655755.7944945446,3650155.886611106,3644537.3417851618,3638893.9388557966,3633218.0336381015,3627500.237125313,3621729.022730755,3615890.2477504434,3609966.571537249,3603936.7499090736,3597774.782160226,3591448.8838919136,3584920.2560487282,3578141.6185739115,3571055.47680434,3563592.0913542914,3555667.1295673326,3547178.991110475,3538005.8251842395,3528002.296123043,3516996.2123386217,3504785.2148295613,3491133.8283166876,3475771.3087140312,3458390.865532132,3438650.9752301485,3416179.5939974077,3390582.072396875,3361453.407113614,3328395.082905346,3291036.144528385,3249057.3472256125,3202216.4062438356,3150371.713009332,3093501.6310705305,3031716.7740639676,2965263.493965981,2894517.9965403797,2819971.769741442,2742210.0735838627,2661885.9016576437,2579692.0249954327,2496333.5284024198,2412502.7774202814,2328858.1557220398,2246007.3095487487,2164495.1093504196,2084796.1304944688,2007311.1747662888,1932367.1920858065,1860219.8964904854,1791058.3775845577,1725011.06487898,1662152.4876209924,1602510.3709567566,1546072.7089855953,1492794.5486738477,1442604.301072567,1395409.4656204928,1351101.709048841,1309561.2832337718,1270660.797653547,1234268.383625077,1200250.3010293418,1168473.0455176707,1138805.0167739512,1111117.807618779,1085287.1706695256,1061193.7147764433,1038723.3781957774,1017767.7199180388,998224.0650808589,979995.5351849244,962990.9890344983,947124.8960121344,932317.159495108,918492.9049217997,905582.2441922957,893520.025699325,882245.5772879102,871702.4477876344,861838.1514042154,852603.9181539773,843954.4526365348,835847.7027325443,828244.6392540864,1705950.933267103
E0,0.4213132377670842,0.3283356881803762,0.3311831723210003,0.37988768474014095,0.45758870896588766,0.5605483524643466,0.6906662468595146,0.8527803559095191,1.0538244633263285,1.3027358062273355,1.6107018924005627,1.991602583737086,2.4626080425867296,3.044936475095374,3.7647964855310105,4.654552198976738,5.7541610245041985,7.112946547920768,8.791783872161005,10.865792687377589,13.427655322652619,16.591703973740323,20.498954360270304,25.32330362329376,31.27916000871475,38.63083283428436,47.7040858833423,58.90034870439835,72.71419193775667,89.7548090825726,110.77241325033036,136.69065958255004,168.64644938357648,208.03876904767336,256.5885751611277,316.4121674801872,390.1110054345018,480.88153328514386,592.6492952005568,730.2324528056461,899.5407670607939,1107.817166033744,1363.930164753918,1678.7265783305645,2065.4550747520607,2540.271979846341,3122.8411018587663,3837.0387677261924,4711.773132956664,5781.922242998287,7089.387038447417,8684.24185307324,10625.943879080201,12984.532189989524,15841.70387818941,19291.598113566328,23441.048976167112,28408.989390536397,34324.61283865998,41323.84783366267,49543.70466648839,59114.15598957283,70147.45372441635,82725.18806538767,96883.94073768414,112600.98952515173,129782.03063510633,148253.10826828063,167758.71645782003,187967.319336218,208484.43763567205,228872.2288370525,248673.45520684222,267437.13329242007,284743.0904276367,300223.0616285092,313576.6795134324,324581.5424583339,333097.3223710125,339064.4840702029,342498.5881590132,343481.34339760785,342149.5981172871,338683.3609669531,333293.76710589946,326211.6976846275,317677.5489858835,307932.4537191416,297211.0926511871,285736.1050855259,273714.01181487174,261332.50103234063,248758.89151694532,236139.57273952002,223600.22294450348,211246.61883245257,199165.87002482027,187427.93469592862,176087.2970811469,165184.71122194733,154748.93711392366,144798.41470474133,135342.83764344314,126384.60227891206,117920.11829317067,109940.97579442448,102434.97000160004,95386.98916042043,88779.77436582265,82594.56182645276,76811.61905938911,71410.68677439867,66371.33798610627,61673.265332889016,57296.506804442135,53221.619179319096,49429.80751940503,45903.01811106276,42624.00131796239,39576.349941615845,36744.517886341135
I0,0.0,0.028540959696751033,0.04352894133184708,0.05490024134788231,0.06668061755791126,0.08073039916531449,0.09818384970010302,0.12001561710929037,0.14728035512834486,0.18123436458467332,0.22342005928393482,0.27574568283927553,0.3405747114244091,0.42083303912434405,0.5201402510854571,0.642971368010148,0.7948564078898265,0.9826266222026124,1.2147182457011434,1.501547081621844,1.8559703127413671,2.293855705639983,2.8347830176225797,3.5029081174450054,4.328027330936114,5.346888112501926,6.604802679124349,8.15763415789389,10.0742406173661,12.439481714370162,15.3579163608792,18.958348725736112,23.39941514093706,28.876447398417007,35.62990005281375,43.95569249753048,54.217892832718135,66.86426223024472,82.44528817058432,101.63746523400492,125.27173562899503,154.36818043373643,190.17825766204083,234.23611380059415,288.42074700060755,355.03106258069977,436.87611592671135,537.3830516805406,660.7253685944107,811.9740849833868,997.27402856862,1224.0466513290903,1501.2192317948027,1839.477752348062,2251.5367265282352,2752.413343461096,3359.6850458467306,4093.6987655287626,4977.686597312877,6037.727540524846,7302.480135727299,8802.60009114842,10569.75590182033,12635.170971120016,15027.659629382319,17771.19045933894,20882.10054859224,24366.18608896327,28215.98576038204,32408.626025304675,36904.588055201595,41647.67459100795,46566.31164194211,51576.14298746941,56583.70279025604,61490.81824843268,66199.32236519757,70615.65205044026,74654.95954293633,78244.45708193255,81325.82469211619,83856.62002894867,85810.72373802138,87177.92586196653,87962.80586383276,88183.08211671948,87867.6099639632,87054.1955559055,85787.37066134317,84116.24610684255,82092.5321692153,79768.78594498354,77196.92033554355,74426.98790363398,71506.23591492117,68478.4163383805,65383.326077904305,62256.54769195164,59129.358689151035,56028.777517928174,52977.71599295577,49995.21059014415,47096.708353495895,44294.38674169555,41597.49033680627,39012.67075588775,36544.31922760496,34194.88405104966,31965.16751426077,29854.598815856276,27861.481125489863,25983.212170941842,24216.47869186646,22557.42579543514,21001.802729718765,19545.08689647068,18182.588092047066,16909.535025159985,15721.14614003202,14612.686695867285,13579.513936769063
A0,0.0,0.064436589889957,0.10706815584383689,0.1451170618721987,0.18613620933353237,0.23421076262350896,0.29237333988933584,0.363590123788361,0.451218076703284,0.5592794814670051,0.6926900391591351,0.8574978663019355,1.0611619729324735,1.3128894122825288,1.624048635540972,2.008678316418284,2.484114478458088,3.071763697927912,3.79805644320389,4.695622427453523,5.804739494753967,7.1751194281205475,8.868108659880583,10.959399795288888,13.542371883096259,16.732204403822333,20.67094312315121,25.533736645761422,31.536512372542536,38.945421636666985,48.08845852248987,59.369748212154974,73.28711220844824,90.45365368891251,111.62427158334631,137.72821264152284,169.90901362538528,209.57347864396465,258.4516882730341,318.670456862836,392.843151928085,484.1793736339881,596.6186698286973,734.9932348299883,905.2254016759717,1114.5666666815287,1371.8859373635191,1688.0155892240994,2076.1646180253365,2552.408467007674,3136.2646657652294,3851.3617596581544,4726.205459304983,5795.0395849632405,7098.789050413359,8686.056435120381,10614.12116559484,12949.859751934924,15770.466539732084,19163.80847055016,23228.19888167151,28071.33331064899,33808.10876456439,40557.06578697114,48435.27010411245,57551.60252958125,67998.6523326067,79843.68706873656,93119.4510418745,107815.75657011909,123872.90932546805,141177.9090552805,159564.09214854022,178814.4820008678,198668.6678993911,218832.62992119932,238990.6339497173,258818.17206320778,277994.91955666983,296216.79504522926,313206.40511203784,328721.3881856464,342560.4077896329,354566.75664919364,364629.7044245836,372683.8463254709,378706.78783779405,382715.5372508846,384761.9801852516,384927.78740827105,383319.06717696384,380061.02350059315,375292.8280802137,369162.8608282332,361824.42499483924,353432.0000207002,344138.05930093373,334090.45133180375,323430.320926719,312290.53168769955,300794.540859959,289055.67215768975,277176.73021050123,265249.9010860997,253356.8861355104,241569.22053457328,229948.73282775047,218548.10709659176,207411.514755237,196575.2881862281,186068.61331203682,175914.22265083753,166129.0743754704,156725.00636381074,147709.35720408132,139085.54862492485,130853.62589357329,123010.7544089374,115551.67205536348,108469.09792269365,101754.09878284442
IH0,0.0,0.0,0.002802042577007596,0.006006140426665479,0.009103775989818432,0.012175742444815214,0.015454638047711956,0.01919564692911805,0.023652248681025702,0.029084723562067656,0.0357773539460125,0.04405735332658285,0.0543143973074467,0.06702147775507418,0.0827583209531681,0.1022387560483732,0.12634351770764435,0.15616012175700808,0.19303169669897935,0.2386169995367361,0.2949643017337604,0.36460241523289494,0.4506528604373583,0.5569680864159049,0.6883017750467577,0.8505186414895127,1.0508528404335973,1.2982261712912402,1.6036398318539904,1.9806566037178215,2.4459941913718226,3.02025513454955,3.7288244565455573,4.602973223623576,5.681214740108005,7.010970508166235,8.650615714837159,10.671989306841105,13.163472174593991,16.233759149054286,20.016477024422827,24.675832281821066,30.413509196777767,37.477082036393696,46.17025428831565,56.865293003622256,70.0180862000361,86.18631326765866,106.0512776450341,130.44399954585884,160.37619116916164,197.07671759596684,242.03405386859993,297.0450404106613,364.2698573298491,446.2925082358148,546.1851346896264,667.573072883234,814.6956232004183,992.4549833144602,1206.442749760482,1462.9300563990078,1768.8043013470078,2131.4333794987315,2558.438602148039,3057.361466287108,3635.218378944567,4297.951828191898,5049.805382452555,5892.670516112175,6825.471180235665,7843.662195184518,8938.915829619196,10099.055793352018,11308.271140325716,12547.609098038942,13795.712042813655,15029.735888079684,16226.369391211989,17362.868082734585,18418.021960572125,19372.990248154165,20211.955977927315,20922.574474871217,21496.210069999186,21927.972516437032,22216.577466387535,22364.063654646394,22375.403390673542,22258.04324695957,22021.40930385572,21676.406868819697,21234.939062667632,20709.46275661656,20112.5945908973,19456.774585082985,18753.990390971623,18015.561646841456,17251.981178368736,16472.807900659944,15686.605109617542,14900.917289230969,14122.278478091763,13356.245512048781,12607.449981026868,11879.663413152055,11175.87095239431,10498.349568029233,9848.747582130261,9228.162995492832,8637.218714649383,8076.133323731254,7544.786502445358,7042.7785678193295,6569.483918359643,6124.098392567879,5705.680728045206,5313.1884315864645,4945.508453332767,4601.483107192803,4279.9317025056125
IN0,0.0,0.0,0.0044523712393816466,0.011194903319024882,0.019638729900555478,0.02982934268719177,0.042101953562015695,0.056965108360251406,0.0750739200354778,0.09724097089885425,0.12446607339958272,0.15797888698827667,0.19929351174601426,0.2502764407802859,0.31323050157997234,0.39099837180019453,0.4870902121592219,0.6058410561570031,0.7526049173035552,0.9339941904713864,1.1581749098081393,1.4352308687779418,1.7776126139175883,2.200691021697948,2.7234397153188414,3.369276168711492,4.1670982152744145,5.152561118674663,6.369650726593118,7.872620948010687,9.728379397708169,12.019424179643998,14.847458212816218,18.337836182524477,22.645034265270787,27.959375595360243,34.51529665153803,42.60150328509332,52.573442272585304,64.86860771542342,80.02531436909547,98.70570547689097,121.72392460726525,150.08057317529278,185.00480140343552,228.00564335616696,280.9345076766785,346.0610730964448,426.1652049501836,524.6478909314385,645.6645637191506,794.2844887444608,976.68007424538,1200.3498977528986,1474.378779149155,1809.737145474388,2219.619937756633,2719.822049619735,3329.142362815433,4069.8014761016843,4967.848966649021,6053.524556508676,7361.524539210371,8931.11177401546,10805.997067372848,13033.915452139523,15665.826910862736,18754.691132920176,22353.801603610435,26514.713845705344,31284.859842353646,36704.9957953495,42806.67220276105,49609.93424944814,57121.45170632114,65333.24189690177,74222.09322917051,83749.73012531466,93863.69347596541,104498.85299063876,115579.42502589646,127021.3442932364,138734.82995728715,150626.9935714234,162604.35440416375,174575.1529584309,186451.38209433298,198150.4839742714,209596.68769092674,220721.9853602501,231466.7628392949,241780.11483336333,251619.88320003886,260952.46224331288,269752.4163872017,278001.95455433696,285690.30256630643,292813.0105800317,299371.22753588716,305370.9692706011,310822.4016873542,315739.155424974,320137.68399040494,324036.67340574414,327456.5081095785,330418.79513720964,332945.94645172334,335060.8176553287,336786.40011535445,338145.5627253217,339160.8390229962,339854.255142573,340247.1940313574,340360.29146357015,340213.35959351296,339825.33407266473,339214.2410822704,338397.18098252383,337390.32563457184,336208.92679972836,334867.3333525844
D0,10853.0,10853.0,10853.0,10853.000045667157,10853.00014355409,10853.000291925699,10853.00049036363,10853.00074224038,10853.00105508738,10853.001440567225,10853.001914584513,10853.002497677016,10853.003215715373,10853.00410092108,10853.005193224364,10853.006542003723,10853.008208271503,10853.0102673941,10853.012812462033,10853.015958455875,10853.019847390304,10853.024654662335,10853.030596883082,10853.037941537603,10853.047018897434,10853.058236708719,10853.07209829961,10853.089224899133,10853.110383142106,10853.13651895877,10853.168799323004,10853.208663670646,10853.257887213807,10853.318658884875,10853.39367726612,10853.486268622317,10853.60053208485,10853.741518172794,10853.915448222693,10854.129983986022,10854.394558701913,10854.720783433551,10855.122945450088,10855.618619032597,10856.229413380423,10856.981887394531,10857.90866711341,10859.049808551665,10860.454456676423,10862.182860208546,10864.308811678116,10866.922592308021,10870.134511130274,10874.079136059741,10878.920319574416,10884.857120356412,10892.13071068671,10901.032332024552,10911.912310868214,10925.190065026514,10941.364907392628,10961.027281635485,10984.869837169721,11013.697472913202,11048.43516833202,11090.132113572723,11139.960408664023,11199.206505700546,11269.25370631612,11351.554473014818,11447.592095190132,11558.832324994877,11686.666838109471,11832.351586434463,11996.944075011146,12181.244125092197,12385.742669252451,12610.582557582286,12855.534331598403,13119.988610623399,13402.96532894663,13703.138744281767,14018.876050953004,14348.286661358718,14689.278796734083,15039.619935825263,15396.997857065915,15759.079406833816,16123.564658418298,16488.234722861594,16850.992074026653,17209.892810239373,17563.170762450347,17909.253756407015,18246.77263757227,18574.563875009426,18891.66668285236,19197.315647701646,19490.929841467387,19772.099346134844,20040.570033067783,20296.227336596225,20539.079649613876,20769.2418555314,20986.91940201217,21192.393221490347,21386.005714047446,21568.147931073054,21739.248033568514,21899.76104657449,22050.159890139577,22190.92763632443,22322.550919632267,22445.51441360907,22560.29627784384,22667.364475991544,22767.173865636145,22860.163963846237,22946.757297334632,23027.358252539463,23102.35234815135
R0,0.0,0.0,0.007584829328748036,0.02125951422516015,0.04065618918505973,0.06610390863330808,0.09844259975878386,0.13895775052940415,0.18938270834215484,0.25194563454462227,0.3294519999813391,0.42540053510288023,0.5441346872445783,0.6910345813027488,0.872757017347699,1.0975335842530325,1.375539781175963,1.7193513174738229,2.144507690257041,2.6702079109849213,3.3201690883706294,4.123685734340462,5.11693645600892,6.344595510275424,7.861819993588254,9.73669978637287,12.053277465751346,14.915270093559704,18.450655121619768,22.81731990668789,28.210020048756157,34.86894785442769,43.09028098921854,53.239165620510526,65.7656914592154,81.2245421776382,100.29915863436986,123.83144005636525,152.85823679664492,188.65616571982105,232.79661522227832,287.21321230794376,354.2845112655462,436.93524562425443,538.7601759454136,664.1753787199785,818.6027666982445,1008.6947132350305,1242.6068670578456,1530.3285658510206,1884.0816353406813,2318.799699727987,2852.7012696571987,3507.9705645075956,4311.559891589067,5296.125910222384,6501.108524702853,7973.954538707067,9771.477443195883,11961.328598167056,14623.53255038956,17852.009794034668,21755.97455189625,26461.055615283065,32109.94996106792,38862.38964488965,46894.19253796559,56395.18754010733,67565.86313771812,80612.68655900989,95742.17218274038,113153.92549961658,133033.02910681345,155542.24487031164,180814.56157445454,208946.6102933439,239993.4025541219,273964.73171107704,310823.43484674534,350485.56173563754,392822.3574425785,437663.84964544413,484803.7486432453,534005.3196232223,585007.8711119207,637533.5156439209,691293.8919787097,745996.5856877204,801351.0400544717,857073.8063798151,912893.0375875498,968552.1783893291,1023812.8472875733,1078456.9394801238,1132288.0051888344,1185131.975554834,1236837.3188942634,1287274.714867877,1336336.334138917,1383934.807504716,1430001.96232583,1474487.3962480999,1517356.9494740756,1558591.1277944082,1598183.5196967004,1636139.2424594127,1672473.444431779,1707209.8838265785,1740379.598368679,1772019.6750520042,1802172.1250255485,1830882.8651936774,1858200.8053998093,1884177.037980436,1908864.1249412824,1932315.476934701,1954584.817527993,1975725.7258741972,1995791.2507660536,2014833.5891146269,2032903.8220989814
G0,635096.0,635096.0285409597,635096.0507833551,635096.0732186473,635096.0989533219,635096.1299516854,635096.1679248287,635096.2147125291,635096.2724823013,635096.3438713745,635096.4321224116,635096.5412359491,635096.6761527853,635096.8429768739,635097.0492495504,635097.304287596,635097.61960023,635098.0094035002,635098.4912547751,635099.0868352759,635099.8229150459,635100.7325426935,635101.856512016,635103.2451696175,635104.96064239,635107.0795818515,635109.6965445864,635112.9281553467,635116.9182328657,635121.8440995023,635127.9243461193,635135.4283851541,635144.6882000765,635156.1127912912,635170.2059305294,635187.5879720269,635209.0226341977,635235.449865733,635268.02615157,635308.1739041976,635357.6419321079,635418.5793878458,635493.6260805505,635586.022597849,635699.744321543,635839.6641359698,636011.7494010326,636223.2995590572,636483.231502817,636802.4204459433,637194.1043402869,637674.3596268556,638262.6549247651,638982.4866528164,639862.0958763,640935.2580544256,642242.1259021185,643830.0893794214,645754.5953017086,648079.8424190952,650879.2376666456,654235.4694470856,658240.0308811096,662992.019354553,668596.0594055937,675159.2537227523,682787.1657268568,691578.9704310015,701622.0585865706,712986.5122424234,725719.954262698,739843.2843614523,755347.7415524109,772193.5902618549,790310.5440114386,809599.8526286919,829937.8186213758,851180.3967546117,873168.4756735418,895733.4377983315,918702.6324662599,941904.4631342167,965172.8684434195,988351.0575311396,1011294.433833647,1033872.7036847516,1055971.2139655342,1077491.596686528,1098351.818875365,1118485.7455037858,1137842.3237645929,1156384.4911577832,1174087.8997165682,1190939.5361251982,1206936.3039079674,1222083.6203916988,1236394.068518432,1249886.1322842739,1262583.0348514775,1274511.69029971,1285701.773503579,1296184.9076217746,1305993.9649876058,1315162.4746098004,1323724.1278325897,1331712.372781831,1339160.0878733394,1346099.324736269,1352561.1112864628,1358575.306272338,1364170.4973295978,1369373.9353593048,1374211.4988404508,1378707.6824698106,1382885.6052655955,1386767.0339625364,1390372.4181561195,1393720.9342191478,1396830.5355143992,1399718.006865116,1402399.0216241458
H0,19530512.2248386,19501216.456501342,19471964.631816592,19442756.68486887,19413592.549841564,19384472.161016803,19355395.452775277,19326362.359596115,19297372.81605672,19268426.756832637,19239524.11669739,19210664.830522344,19181848.83327656,19153076.060026646,19124346.445936605,19095659.926267702,19067016.4363783,19038415.911723733,19009858.287856147,18981343.500424363,18952871.485173725,18924442.177945964,18896055.514679044,18867711.431407027,18839409.864259917,18811150.74946353,18782934.023339335,18754759.622304324,18726627.48287087,18698537.541646563,18670489.73533409,18642484.00073109,18614520.274729993,18586598.494317897,18558718.59657642,18530880.518681552,18503084.19790353,18475329.571606673,18447616.577249262,18419945.152383387,18392315.23465481,18364726.76180283,18337179.671660125,18309673.902152635,18282209.391299408,18254786.07721246,18227403.898096643,18200062.792249497,18172762.698061123,18145503.55401403,18118285.29868301,18091107.870734986,18063971.208928883,18036875.252115488,18009819.939237315,17982805.209328458,17955831.001514465,17928897.25501219,17902003.90912967,17875150.903265975,17848338.176911075,17821565.669645708,17794833.32114124,17768141.071159527,17741488.859552786,17714876.62626346,17688304.311324064,17661771.854857076,17635279.19707479,17608826.278279178,17582413.03886176,17556039.419303466,17529705.36017451,17503410.80213425,17477155.68593105,17450939.952402152,17424763.542473547,17398626.397159837,17372528.457564097,17346469.66487775,17320449.960380435,17294469.285439864,17268527.581511702,17242624.790139433,17216760.852954224,17190935.71167479,17165149.30810728,17139401.584145118,17113692.4817689,17088021.943046246,17062389.910131678,17036796.32526648,17011241.13077858,16985724.269082412,16960245.68267879,16934805.31415477,16909403.106183536,16884039.001524262,16858712.943021975,16833424.87360744,16808174.73629703,16782962.474192586,16757788.030481298,16732651.348435575,16707552.371412922,16682491.042855803,16657467.306291519,16632481.105332082,16607532.383674083,16582621.085098572,16557747.153470924,16532910.532740718,16508111.166941607,16483349.000191195,16458623.976690909,16433936.040725872,16409285.136664784,16384671.208959786,16360094.202146346,16335554.060843127,15426208.843623463
S1,0.0,5771.554061748481,11122.196712843008,16082.005852691113,20678.91098880167,24938.846627297502,28885.894750176936,32542.41712537429,35929.17816616431,39065.45901204726,41969.16345694078,44656.916306049614,47144.15470109966,49445.21291478982,51573.4010791845,53541.07827914701,55359.72041060076,57039.98317421133,58591.76054782912,60024.23905554485,61345.94812732175,62564.80682071346,63688.167154990326,64722.85428791336,65675.20374624073,66551.09590264854,67355.9878739013,68094.94299761021,68772.65802753899,69393.48816989841,69961.470065124,70480.3428009214,70953.5670225147,71384.34218460866,71775.62196607958,72130.12784228162,72450.36078046405,72738.61099045564,72996.96562475938,73227.31427879336,73431.35209257274,73610.58019922339,73766.30320333327,73899.62330400433,74011.43060551093,74102.38908658689,74172.91763441399,74223.16550264772,74252.98154190597,74261.8766024763,74248.97866064897,74212.98052475529,74152.08050413396,74063.91725968296,73945.50129475785,73793.14728114095,73602.41370112334,73368.05908805146,73084.02726170995,72743.47691987587,72338.87296284395,71862.156846915,71305.00974041058,70659.21412892074,69917.10642086022,69072.09616088646,68119.20966735092,67055.60180958905,65880.97402236283,64597.84266614303,63211.6193839718,61730.49048837318,60165.10960578427,58528.14067085368,56833.70269103427,55096.77216640935,53332.59490031669,51556.148930939744,49781.68754970351,48022.37845943909,46290.04382245851,44594.99715651581,42945.966981615544,41350.09359066696,39812.98386985452,38338.809210367486,36930.43273023835,35589.55383167546,34316.86021383741,33112.17959326514,31974.625385868214,30902.73237479576,29894.579879211116,28947.901139057205,28060.17855458317,27228.725095978945,26450.752664618165,25723.428481800995,25043.920740565056,24409.434814394644,23817.241302013554,23264.697123317153,22749.26078642896,22268.50283401282,21820.112358733393,21401.900360444146,21011.800606145778,20647.86855096517,20308.278785918614,19991.32139660369,19695.397546084227,19419.014534520215,19160.780536715843,18919.399175749095,18693.664055200727,18482.453343237667,18284.724478002154,18099.509044572907,17925.9078584478,17763.08627839188,36587.413377446865
E1,0.0,0.0,0.00011312910597106261,0.00044127369533324346,0.0010221030361282596,0.0018992010338803092,0.003137618628520128,0.004827860178698309,0.007089244352056261,0.010074999600396428,0.013979501396623286,0.019047815327923247,0.02558783833111893,0.03398551097942246,0.04472375520937613,0.05840598212885523,0.07578522983812787,0.09780024670701615,0.12562014551016337,0.16069963308666302,0.20484728565137972,0.26030991160178674,0.32987674588363386,0.417008082189045,0.5259940073645298,0.6621502000804325,0.832059346092959,1.0438686695492279,1.3076564612845707,1.6358833941494992,2.043947963530369,2.5508697107399665,3.1801291336181987,3.9606995436750987,4.928313799810838,6.127018067184307,7.611075767621251,9.447297963852147,11.717891797484915,14.52393646943867,17.989616682723323,22.267366311605237,27.54409979059998,34.04873418669679,42.061229015130465,51.923389993253735,64.05169132263205,78.95235982270061,97.23891999754365,119.65230270384349,147.08344482281237,180.5980177444377,221.46247405032165,271.16994334408236,331.4635891089768,404.35382431253265,492.1242838810224,597.3197643994008,722.7077082383151,871.2036798712719,1045.7513460084963,1249.1496136479889,1483.8246919022117,1751.553438457955,2053.156033627675,2388.18900023286,2754.6805760784846,3148.955346751638,3565.590404431795,3997.5300562920584,4436.362683922204,4872.737231791917,5296.874594040702,5699.116150913727,6070.4500661505035,6402.964523111268,6690.192361950316,6927.329353761804,7111.32497161901,7240.857639754061,7316.215075472552,7339.104571606667,7312.418641721328,7239.979381846607,7126.281213263308,6976.247235544002,6795.009901617807,6587.72257541794,6359.405007466872,6114.822976102969,5858.400297325717,5594.160041240897,5325.69100657717,5056.1351802832805,4788.191930978266,4524.134947706125,4265.8383495322105,4014.8088852353276,3772.221661324327,3538.9573421639802,3315.639232739709,3102.669067779448,2900.260683938649,2708.4710437228987,2527.2283138699922,2356.3568825296006,2195.5993354869483,2044.6355089956503,1903.0988024584517,1770.5899746355908,1646.6886679521265,1530.962911690598,1422.976850453802,1322.2969325599195,1228.4967765973827,1141.1609152320402,1059.8875950339661,984.2907906718301,914.0015720733489,848.6689445745026,787.9602649815741
I1,0.0,0.0,0.0,7.663688117567692e-06,3.5608904049422985e-05,9.579816488043734e-05,0.00020010590646473905,0.00036179510962336685,0.0005968886531188696,0.0009254197785356448,0.0013727098995881233,0.00197081189461964,0.002760233025787355,0.003792042416226559,0.005130473381738581,0.006856147209024801,0.009070070014274283,0.011898587577122446,0.01549952516106904,0.02006979174014304,0.025854792831733454,0.03316007598177162,0.04236573122945437,0.053944189749424,0.06848221242624787,0.08670804259240393,0.10952492116445212,0.1380524372094162,0.17367752382739404,0.21811732179987786,0.27349663822311665,0.3424433441757637,0.42820580813295817,0.5347973786173682,0.6671740438387369,0.831452746751846,1.0351794658217448,1.2876581352438994,1.600353828561203,1.9873864241756494,2.4661342659854637,3.057971173735866,3.789164570178153,4.691967458327163,5.805942411425134,7.179561419931526,8.872130973625634,10.956096452867563,13.519782642180072,16.67062622515,20.538948876683012,25.282302293698514,31.090384003317734,38.190468169398315,46.85321027825891,57.3985586753957,70.20132976829872,85.6957707415327,104.37814554214799,126.8060543958282,153.59287783868004,185.39550245238414,222.89345625605912,266.75790618953886,317.6097943786292,375.9677960019034,442.1887092865986,516.4050702865271,598.46674458333,687.8943950213868,783.8525474803699,885.1482579160951,990.2583323226992,1097.3842708451355,1204.5304058640463,1309.5978321761318,1410.4851659274595,1505.187039795107,1591.8823496157506,1669.006219968809,1735.302001177578,1789.8519439647773,1832.087225353567,1861.7795503679927,1879.017570710796,1884.1718698994762,1877.852342984743,1860.8615516057014,1834.1471694269112,1798.7560468577776,1755.7917979502581,1706.3772069658046,1651.6222081078488,1592.597732911232,1530.3153554628936,1465.7123953858322,1399.641954759676,1332.8672561508254,1266.0596010757617,1199.799267690738,1134.5787003532712,1070.8074005673154,1008.8179992269401,948.8730664939947,891.1722924204004,835.8597445415396,783.0309755019972,732.7398128287329,685.0047136032049,639.8146089987744,597.1341978741456,556.9086755542684,519.0679044441663,483.5300481228445,450.2047009589471,418.9955519289655,389.80262497418755,362.5241395819605,337.0580348999764,313.30319907333364,291.1604430282911
