state,R0_SD,R0_SIR,R0_SEIR,R0_SEIR_SD
IL-DuPage,2.1100963464145934,1.5212893289296554,1.9734582073450229,23.805788383699745
IL-Kane,2.915668212699141,1.6094468679787646,2.1308212075752895,3.0291285697123644
IL-Lake,3.674389813905031,1.8386028209475096,2.581062026592861,66.059896171355
IL-Will,3.8102974800803344,1.8260334801361167,2.5630626367315688,46.8702538748415
IN-Lake,4.191440943797804,1.8926357372244558,2.70007425114945,44.8026598919915
IN-Marion,4.879151427179091,2.0737498597067248,3.1035704018965546,51.360403139535
LA-East Baton Rouge,6.045417271947583,2.2612789234244004,12.025936339824,34.932953855145804
LA-Jefferson,3.1691989500299225,2.4516112901901117,37.1569894764625,5.820516806649933
LA-Orleans,3.1943135300497865,2.6764942493277077,38.126984080243076,7.149213506176986
MA-Bristol,3.9054373312583572,1.8883293430192318,11.825516097670972,69.38299650333126
MA-Essex,4.377345788948686,2.0220858469683245,7.991531201761859,63.86364094748555
MA-Hampden,5.1611318486112445,2.108861711502883,25.2187903663725,60.7106948997825
MA-Middlesex,4.030816730081485,1.95873469727099,9.657202676952185,10.610778889781674
MA-Norfolk,2.7714480504219687,1.849798255724722,8.479720141342073,7.489433899037594
MA-Plymouth,4.169122385878671,1.9097498606767294,7.56310183953367,26.24101715262852
MA-Suffolk,4.317640366444486,1.8986197864836374,6.5391161684656245,37.74343134481194
MA-Worcester,3.6923171337554663,1.843692423909127,7.275240735733515,55.47736421981131
MD-Anne Arundel,3.943962679954352,1.8609605852897273,3.2182277360149807,41.807559396787504
MD-Baltimore,4.059011290616941,1.8909816907567152,2.8035294010236647,43.8157216080405
MD-Baltimore City,3.6052771184563963,1.7904885815068596,2.4995713424937076,51.099631101962
MD-Montgomery,3.309657913055397,1.7621188542337023,2.4068628037640596,34.05646961423972
MD-Prince George's,3.509745338790492,1.8203084729210146,5.844285334360049,36.01731915410623
MI-Kent,1.6816687697207862,1.6861167190587907,2.1888632812290565,2.29936173741562
MI-Macomb,5.412656959276373,2.4028058814516684,5.98398805778475,13.700392253764914
MI-Oakland,6.867694086187314,2.434383007932613,7.027237735196767,15.910416564474176
MI-Wayne,8.919999057081819,2.781926646081975,23.47385511100625,23.66365324526104
MN-Hennepin,1.9719085304388067,1.5583272590249224,2.019100570641094,14.295528897544346
MO-St. Louis,6.3737405592959995,2.1840021615183,9.852566611808001,26.957953085181067
NJ-Bergen,4.369047930986979,2.3375154972460717,29.573530228043033,9.37091222942548
NJ-Burlington,3.974385687979961,1.8787887812384945,20.815489103319752,61.311180262283
NJ-Camden,3.952639715674032,1.8820005075330977,12.337513358910698,48.49840815177147
NJ-Essex,6.017501591172959,2.3528078586436534,24.62842728363875,21.52674458342638
NJ-Hudson,5.9424101754148495,2.3603551111866508,11.80445305935984,27.458704278895418
NJ-Mercer,4.047110029343901,1.9177500444931488,6.961687140298048,41.55003658009989
NJ-Middlesex,5.154310651678283,2.1846421640811196,13.619726636006165,21.002359241365074
NJ-Monmouth,5.870053904981686,2.2565017547115938,25.8655176392605,32.36099563068883
NJ-Morris,5.2632165890589295,2.362503027683694,27.953579474275248,17.421904356374498
NJ-Ocean,7.100033225251867,2.3659473778852482,28.708849172207746,58.561844457574566
NJ-Passaic,6.41314854518914,2.252065311025073,10.76058868364771,95.3847442683929
NJ-Somerset,5.191946644561474,2.1040472000959065,30.387576912860748,19.88560440945254
NJ-Union,5.9320959073697495,2.3715243044217837,12.341168934896304,37.6587996118463
NV-Clark,4.956302522168357,5.7605728293587495,6.863031679332999,24.11202603228415
NY-Bronx,6.625360207040097,2.5254620177011313,13.842389564816498,69.52223059488027
NY-Dutchess,5.459758869993918,2.0660844740921784,27.263015008799503,17.459035678846163
NY-Erie,4.261262168279401,1.9149298146502447,2.99947178363648,40.71985955895675
NY-Kings,6.798062129551713,2.556064153972889,43.5523964344209,45.34198588247236
NY-Nassau,6.508078719657119,2.5398194313210123,14.49180378627791,23.39468251991038
NY-New York,6.548821585825324,2.4057779557694863,34.99493841225675,36.076142007462856
NY-Orange,6.167677511408898,2.3992939451775266,15.723086030097592,48.30215291680327
NY-Queens,7.464223634383518,2.715044575137117,29.797696708289298,78.64354573071928
NY-Richmond,5.945313917155364,2.4586061654904365,15.015704223696623,24.880917509802476
NY-Rockland,8.81515522931956,2.4510893663823965,13.498803105091659,30.359718967336796
NY-Suffolk,6.87930003625747,2.617925032205061,31.434420741616233,41.164224850920775
NY-Westchester,6.781559499431378,2.221730912187662,10.105232713670912,47.547394466242196
OH-Cuyahoga,3.9947755968599923,1.7455907389546,6.564631721851499,25.58829859701275
OH-Franklin,3.4523711448616377,1.7650095087792819,4.693519856848675,37.837467468877996
PA-Berks,4.98002068492159,2.1120391556087927,3.2351294664241785,13.4947936091332
PA-Bucks,4.053006410748802,1.9040768468503482,2.7269629176835624,52.30037339792225
PA-Delaware,3.8260485915437985,1.858507822966819,15.171502379600904,24.13794531837965
PA-Lehigh,7.301833187521114,2.25017807436106,3.642006760828237,22.862652152395405
PA-Luzerne,8.430524139347314,2.579033388238694,15.479688709635504,17.356111767659073
PA-Montgomery,3.958884332504804,1.874458235142741,2.650550349454707,14.000288492489846
PA-Northampton,5.819058671104156,2.1544032977628294,3.330909032412022,41.88625267293498
PA-Philadelphia,5.08025123688802,2.160869667229399,28.22819034746275,67.73722442103374
RI-Providence,3.6006694421287717,1.826525657684234,5.867605626335015,3.506259785976953
SD-Minnehaha,3.7974664195872196,1.842962608171066,6.384028025984614,11.135767734963954
TN-Davidson,3.510860128830321,1.7522983818456388,2.4097665171968043,44.666548247954005
TN-Shelby,4.499711667958314,1.911572631259008,8.386096572897749,32.98084994180475
TX-Dallas,3.216771905365067,1.7075164078097165,6.444315920370499,33.649533256407246
TX-Harris,4.1113658204963945,5.20577453207575,6.266202851306001,12.285812363983826
TX-Tarrant,3.312454532189297,1.6850296397849998,6.185421930203,29.054135664044498
UT-Salt Lake,3.33122036619769,1.658736906947477,3.6663424722339464,32.952232266258
VA-Fairfax,3.076584316853053,1.7054808254496778,2.2976425721305715,23.088282020905215
VA-Prince William,2.7441914673909986,1.556308340731268,2.039923960915854,17.348096153689998
WA-King,4.431631583179967,1.8949027446102498,7.644534323601,16.883513311829446
WA-Snohomish,4.832458203953456,1.9348332604988998,7.940671334355249,9.357174122429248
WI-Milwaukee,4.418428376111194,1.963486687106575,5.428657328124509,34.900003369843766
