County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/14/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,54,104,24,,,14,26,6,54,104,24,,14,26,6,12,23,6,0,0,1,0,0,0,0,,,,,,0,264,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,23,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/13/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,54,102,24,,,14,26,6,54,102,24,,14,26,6,12,22,6,0,0,1,0,0,0,0,,,,,,0,263,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,22,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/12/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,54,100,24,,,14,25,6,54,100,24,,14,25,6,12,22,6,0,0,1,0,0,0,0,,,,,,0,262,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,22,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/11/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,53,99,24,,,14,25,6,53,99,24,,14,25,6,12,22,6,0,0,1,0,0,0,0,,,,,,0,261,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,22,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/25/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,64,135,24,,,16,34,6,64,135,24,,16,34,6,14,29,5,0,0,1,0,0,0,0,,,,,,0,275,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,14,29,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/24/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,62,131,24,,,16,33,6,62,131,24,,16,33,6,14,29,5,0,0,1,0,0,0,0,,,,,,0,274,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,14,29,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/23/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,61,128,24,,,16,32,6,61,128,24,,16,32,6,14,28,5,0,0,1,0,0,0,0,,,,,,0,273,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,14,28,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/22/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,60,125,24,,,15,31,6,60,125,24,,15,31,6,13,27,5,0,0,1,0,0,0,0,,,,,,0,272,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,27,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/21/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,59,122,23,,,15,30,6,59,122,23,,15,30,6,13,26,5,0,0,1,0,0,0,0,,,,,,0,271,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,26,5,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/20/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,58,119,23,,,15,30,6,58,119,23,,15,30,6,13,26,5,0,0,1,0,0,0,0,,,,,,0,270,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,26,5,
