state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
tn,Tamil Nadu,2.151202150315121,0.20470277293224265,0.6252213624559597,0.040256746193044535,0.04012515472716461,0.14348300844113096,0.10234934680682327,0.003901894460199274,0.10644787748372077,0.07020106047899773,0.8400000000000001,0.0007938922178293191,0.0016739671098556653,0.043164923808714215,1.5145033275227802,2021-03-18,0.051242869235035966,0.0,2021-06-18,0.05461923906370656,0.13983338947482274,0.9672187418336692,0.6580790072542086
up,Uttar Pradesh,26.80491384608889,0.2,0.8652260262543124,0.04127168855185519,0.055077877436985306,0.07225181629310481,0.4478994522702932,0.01298064010682068,0.1896272974627376,0.007191846844451073,0.8400000000000001,3.6847399455067746e-05,0.0022811228916229725,0.03333333333333333,5.280907392034695,2021-03-21,0.07142857142857142,0.16310101910170988,2021-07-24,0.008738919787900267,0.017141649286110047,0.9994157738527608,0.9977919367316592
ap,Andhra Pradesh,2.4568937478044117,0.2010010577606521,0.8057720919469336,0.04,0.19918292520416672,0.17502349119741098,0.4996797980460797,0.016542815455739858,0.12137605789789906,0.13742588353655485,0.81,0.00016873532483038215,0.0,0.041415319679020485,0.7199871316490438,2021-03-19,0.03333333333333333,0.5849661676800163,2021-06-18,0.003775870652784713,0.019382165210348128,0.9998239785151763,0.993221748372319
ut,Uttarakhand,6.314819053594658,0.2084029346218108,0.773908758764177,0.04026753947405903,0.12824757901008754,0.2,0.4516623914084265,0.047010420754878116,0.12453206146131915,0.041687088379009835,0.81,0.0007605550368720976,0.002158462980224218,0.03333333333333333,2.8497076349393438,2021-03-21,0.07142857142857142,1.3609181340219223,2021-07-07,0.013628061814718205,0.012637748586095685,0.999056950713054,0.9994605012760288
or,Odisha,1.3368871306856347,0.20000000141202612,0.8278769428511532,0.04012349028668854,0.1794087868298219,0.09660609969208224,0.04001146101256165,0.001,0.1651764618821357,0.041140994432084015,0.9700000000000002,0.0027154750284865,0.012068102899137385,0.055919607324859184,10.0,2021-03-15,0.05555555560892632,1.7532944230672822,2021-07-03,0.015833171738758256,0.16476237820151596,0.9977883286400341,0.8409416733568579
wb,West Bengal,18.887690249651932,0.20546401327555566,0.2761724091622754,0.05264234700941287,0.1966636755085064,0.15035420576878353,0.16338735206203298,0.006571793574239159,0.0527857949418131,0.012079780786421477,0.81,0.00022741072721577002,0.0029528339912965307,0.07142857142857142,1.8146478256986431,2021-03-17,0.07142857142857142,1.0230160684397274,2021-07-12,0.018701231668987173,0.006508863804470931,0.996990496465567,0.9992151935179088
py,Puducherry,5.693464626794069,0.2000588888475187,0.10003038140130363,0.1980185026493429,0.195548300483308,0.19991185343043255,0.1964659019693407,0.00623693845873624,0.18928995051314584,0.08620991922012541,0.8,0.0,0.0009542671428817869,0.03339587161739421,1.0211956603660086,2021-03-22,0.03333333333333333,0.7336402118448264,2021-06-21,0.007682700947264719,0.035698716911970636,0.9998007684706788,0.9868235706632694
ch,Chandigarh,1.0076573300506235,0.3,0.8760409673600945,0.05478767934639196,0.1934069026115673,0.19994163811789625,0.10143329745050453,0.005911213311276792,0.0443234872321704,0.34293107701259,0.8,0.0,0.001918120661576379,0.03333333333333333,0.9554140013359104,2021-03-20,0.07142857142857142,3.6670128313178414,2021-07-31,0.013341197981045385,0.03166769691529026,0.9984534829886084,0.9927430583565388
ct,Chhattisgarh,2.7839449541691854,0.20634482426809245,0.8294366795417721,0.07496914527525025,0.19602365813680755,0.16209356373062894,0.4748077850072702,0.026023522535033882,0.1983183679686716,0.09438609000694813,0.8,0.0,0.003265622235565095,0.07142702728820698,1.7750777749805633,2021-03-15,0.07142857142857142,0.658586851391649,2021-06-23,0.007104763492892236,0.01507998809496049,0.9996559940770426,0.9985134939657344
gj,Gujarat,44.11670426825579,0.20682013176524516,0.5376641023037904,0.2,0.2,0.19999673085870853,0.4987503627284024,0.01046969733202207,0.1877185589809416,0.011602821257085724,0.8300000000000001,0.0017351990080483265,0.0,0.03333333333333333,1.7412538845682963,2021-03-22,0.07142857142857142,0.8136243752890285,2021-07-15,0.008031835836065735,0.01864630906497267,0.9995726392168208,0.9965603161583202
