State - County,beta,gamma,gamma2,a2
NJ-Monmouth,"7.554, (6.818, 12.411)","0.04, (0.04, 0.06)","0.04, (0.04, 0.069)","0.1, (0.016, 0.122)"
NJ-Morris,"12.535, (11.043, 16.321)","0.04, (0.04, 0.042)","0.04, (0.04, 0.044)","0.131, (0.058, 0.138)"
NJ-Ocean,"9.368, (7.235, 17.443)","0.04, (0.04, 0.095)","0.04, (0.04, 0.106)","0.118, (0.01, 0.165)"
NJ-Passaic,"11.677, (11.352, 13.379)","0.04, (0.04, 0.041)","0.04, (0.04, 0.044)","0.01, (0.01, 0.013)"
NJ-Somerset,"9.337, (9.208, 12.952)","0.042, (0.04, 0.043)","0.04, (0.04, 0.045)","0.12, (0.057, 0.13)"
NJ-Union,"9.73, (9.566, 10.854)","0.04, (0.04, 0.043)","0.04, (0.04, 0.045)","0.088, (0.025, 0.09)"
NY-Bronx,"12.07, (11.707, 19.065)","0.04, (0.04, 0.05)","0.04, (0.04, 0.06)","0.125, (0.01, 0.147)"
NY-Dutchess,"6.724, (6.378, 10.305)","0.047, (0.04, 0.068)","0.046, (0.04, 0.074)","0.037, (0.012, 0.053)"
NY-Erie,"6.534, (6.115, 16.177)","0.04, (0.04, 0.074)","0.04, (0.04, 0.095)","0.114, (0.022, 0.148)"
NY-Kings,"11.169, (9.671, 15.436)","0.04, (0.04, 0.067)","0.042, (0.04, 0.085)","0.164, (0.01, 0.2)"
NY-Nassau,"11.836, (11.762, 14.832)","0.051, (0.04, 0.052)","0.04, (0.04, 0.054)","0.051, (0.024, 0.067)"
NY-New York,"10.819, (9.76, 14.869)","0.04, (0.04, 0.054)","0.04, (0.04, 0.058)","0.143, (0.044, 0.168)"
NY-Orange,"11.144, (10.277, 12.504)","0.041, (0.04, 0.05)","0.041, (0.04, 0.05)","0.049, (0.019, 0.054)"
NY-Queens,"12.936, (10.999, 18.294)","0.04, (0.04, 0.062)","0.04, (0.04, 0.112)","0.139, (0.01, 0.195)"
NY-Richmond,"11.985, (10.174, 15.881)","0.04, (0.04, 0.053)","0.04, (0.04, 0.064)","0.089, (0.01, 0.115)"
NY-Rockland,"19.095, (18.553, 33.026)","0.04, (0.04, 0.042)","0.04, (0.04, 0.057)","0.012, (0.01, 0.013)"
NY-Suffolk,"10.814, (10.412, 13.485)","0.04, (0.04, 0.058)","0.048, (0.04, 0.058)","0.06, (0.016, 0.062)"
NY-Westchester,"13.563, (13.361, 18.803)","0.04, (0.04, 0.041)","0.04, (0.04, 0.044)","0.01, (0.01, 0.013)"
