state,SD 1W,SIR 1W,SD 2W,SIR 2W,SD 3W,SIR 3W,SD 4W,SIR 4W
NJ-Morris,142.42453711827386,579.8968942464332,388.0932906625104,1044.2487709538104,581.9885153107974,1391.9620935233488,742.1040520287062,1657.0780936508154
NJ-Ocean,223.1592703596618,847.1302720639707,632.0746782553666,1538.414189155185,977.2257309289561,2097.8427230384787,1279.4604283603414,2557.0792440440528
NJ-Passaic,516.4998533775915,1576.2579575131033,1512.1376554423305,3174.3860651995096,2421.1134709381777,4557.916496376992,3057.2902704108933,5558.251934502181
NJ-Union,646.7524782240955,1939.8839476537175,1061.783038055375,3233.049708882543,1288.1041662154196,4166.280218899655,1431.311144718242,4870.715489914222
NY-Bronx,1984.2692502505813,6277.930557071187,3270.069952574298,9546.696334062503,4351.442664970969,12228.49473869956,5006.928535995744,14152.118383366933
NY-Kings,2619.647437568125,8522.217455336198,3305.484803466117,11727.13806786993,4008.037732023065,14497.26262752058,4549.3217407631155,16712.467688217188
NY-Nassau,737.6276946593724,4965.335940216947,854.4961466951335,7190.929546178601,882.7919180612307,8900.288488135864,814.2753179936167,10114.159403781687
NY-New York,1470.1297104054804,4126.326351253641,1617.878475556189,5415.53991796202,1866.2348416256668,6629.423706097198,2035.8682443197008,7589.45107303789
NY-Orange,174.42369386376424,949.6178751918809,267.6013540070864,1649.0647792418076,372.4772190787345,2266.09342819801,441.83673946728527,2715.4855886437376
NY-Queens,1657.0472146200855,8556.63932494501,2951.6555002847513,12549.270481835083,4065.3664566137263,15852.067826857046,4832.576517791203,18363.502790445647
NY-Richmond,651.8470843670895,1988.2142200835303,879.7634912528457,2876.7800861990004,985.0598491113195,3510.954888773131,1022.541792144877,3965.6824816530066
NY-Rockland,725.6806814598228,1164.7893946390348,1196.9352172775577,2056.962705256061,1553.5816863097423,2745.5589538900254,1738.1416146244117,3181.856310667858
NY-Suffolk,389.37361458236757,4409.359585294237,723.2415450132812,6973.57380340823,921.6561158343306,8945.358416680503,1008.039574080065,10420.786900716637
NY-Westchester,1915.8960356777422,4187.714630918856,2918.3624241527236,6261.403460143313,3582.576215116947,7797.713057621595,4016.3256098802185,8927.53536571392
PA-Philadelphia,516.6191457367573,1557.6197554303528,1500.9568645823579,3289.1852471910915,2670.0513914945705,5053.671405402682,3792.5736286429888,6627.125065500184
RI-Providence,593.1621769987213,574.4766858116623,977.5516428641732,1053.3195209169392,1305.4164872462043,1629.4908291039374,1413.981393519464,2041.160710965654
TX-Dallas,144.20058731534445,1158.7103088612166,245.51193838673046,1910.6510612610605,619.28339051841,2202.4195743692358,1308.1243551013577,2082.0908200671247
TX-Harris,561.0263556878879,2225.2032923156444,1034.2920423634548,3799.8563960710776,1182.2988686046876,4598.754739061813,1194.3287252238445,4914.853890997883
VA-Fairfax,60.73467886884627,76.98322312779035,118.19786979026219,230.19790125599945,481.05086331658924,764.2256332206239,1007.0692175824537,1461.0122956531748
WA-King,89.307200021973,320.65577796083545,73.28693158572574,304.7839205773967,62.69905535721654,525.0537391156485,87.32753487165078,805.0899473240779
PA-Montgomery,76.95647829406471,143.37282614554852,142.90580879640345,474.5811746150163,389.0870236034389,872.7038197874076,656.4969308564282,1243.1775920159168
NJ-Mercer,81.76063945862337,255.44822124897922,319.1333091057469,693.0037961766078,714.0188580199373,1240.7945071301033,1115.5965138718852,1760.2952481208351
IL-DuPage,31.65184236018711,32.47625482996099,225.30694922938125,294.45704828818344,623.6706200706515,790.424724445766,1057.1627958843417,1331.1817065838518
CA-Riverside,122.44635775338499,602.9624812515915,151.8013292720131,1081.6171855584016,190.76522497522882,1368.934427906358,299.6425852421305,1434.9775287850869
PA-Delaware,48.028731521357585,124.78931934466056,66.55863941148918,415.9862535263511,236.65973120933796,796.77752164338,499.61419103633864,1221.2597446692355
CA-San Diego,127.94429788611262,1779.7206677430556,500.2833760803889,2957.8727151530466,945.2669417370253,3714.4205630765923,1458.6139519740982,4036.72349799833
MA-Hampden,228.6577532289011,549.6139634772436,439.59368885335294,985.8384545874851,641.599226057298,1381.3678945857248,842.6940544341675,1744.4531301299053
NJ-Camden,138.49066120786108,294.72976383336794,373.7292368509775,711.9270444976576,701.6641268820116,1193.1119073652408,1085.5295414275693,1694.9577398949848
NV-Clark,93.283669703309,1583.7150318582849,322.5520370657013,2114.3380223498266,590.5083348692873,2321.8915638074714,825.8513454608404,2374.1331621752543
NY-Erie,187.40746749426157,518.3764377804545,528.9656122867336,460.7971802025322,949.543964317903,435.1962955332086,1363.205019147202,631.7233756555572
MN-Hennepin,126.82221698916715,109.84513829592932,248.0522514248234,217.8408257213982,569.1972180122863,212.29217633138853,1187.3305539241749,483.5165194764853
WI-Milwaukee,23.3830464472012,624.2259243851954,106.36979021124117,624.1856209713613,293.3293393656255,528.67477794535,549.9601261814338,519.0527496910457
CO-Denver,154.53566916683576,92.68992346293358,417.02189977062324,308.81213241273844,702.1929335268135,655.0261859660582,1004.7101922216395,1035.9467138089508
MD-Baltimore,64.7480220078443,389.1361318852795,180.66288551127366,342.58364041191226,482.577519463136,358.89079855930265,774.9164921382575,551.339267709129
FL-Palm Beach,95.73215235031255,931.052026523719,180.59885743770622,1262.5671000194457,286.5704892722926,1378.2917217799427,497.0283845162282,1325.7683101554312
OH-Franklin,186.04675298914205,610.686958390532,317.58339319902063,975.543326915522,683.3270606722655,997.1388101011208,1113.8964772841484,886.8472844418509
PA-Bucks,165.39674516524363,106.99296038580498,476.0243062119745,277.625172308586,806.879777094391,597.449432691144,1154.72340051499,945.6020077641535
MO-St. Louis,19.4928686420322,872.7270821487441,162.62429211653512,882.571370976932,324.01270196482125,784.3520907914838,493.99738681901215,681.8548869578688
IL-Will,11.86807900085953,336.08446364887345,121.27878940833612,309.4494710583654,436.1917056655798,341.5168537683904,820.2736549588271,635.038886077536
TX-Tarrant,91.7388044394169,668.4360725393758,290.8935456046402,1258.0636595700103,497.11316596569907,1736.6521862523412,823.4285206986946,1924.579171385163
NJ-Somerset,56.35743644177916,243.52813252274888,308.1948576446704,618.6194319095051,548.839523770683,948.2130597179219,746.8553698273231,1205.7365519814095
IL-Kane,66.70624794897975,149.75714684257673,323.0707241150365,125.80415608452658,731.7254099109894,343.8354740478441,1275.7958406985304,811.7342645247505
CA-Orange,91.42009572746507,1091.3291952770737,240.64382148558047,2021.7766558179576,539.6828872500603,2730.0141376961856,899.832344207695,3138.368084413898
NJ-Burlington,68.86359085854163,213.60042577247893,310.06655231697016,604.6547213831782,595.742760428624,1000.1966264609393,875.1895335693973,1359.2192883315777
TN-Davidson,79.79432875619,288.29311317332895,272.42862733656676,239.66405529359224,520.448837215982,414.0769724284987,753.9614301220363,672.6186602079358
UT-Salt Lake,145.2525992389981,261.28277728647083,322.64549426352147,297.5407673721551,559.7395547495361,257.7413994441102,834.4936442191033,277.05839727003183
GA-Fulton,39.69110880220113,311.29305468469147,42.465231889189276,321.97429815757994,46.74073654645246,279.0327191217685,107.3066077456247,274.50543099583115
MD-Baltimore City,131.08199139230442,31.99223297222072,211.5569204092838,69.2176277255847,371.1214139553758,245.324702381066,741.3386780458553,637.1975558950444
TN-Shelby,164.85273315038597,499.24324811751774,274.01882981296126,590.4894117445034,449.59302861592886,534.1621432759846,641.8042408852732,467.6237972881912
PA-Berks,167.87996261241034,135.53829001699452,352.98770153197506,381.50342107937973,558.8106167033677,605.2928296676341,689.4191485599696,846.9308466569613
CO-Arapahoe,49.49904815770096,48.44631950964974,212.04153256793725,215.41183671770216,376.63233119397546,453.73900373462146,573.0939845328672,733.7727596213175
DE-Sussex,57.85282188644532,209.8549954011274,105.9716089043096,453.5332819890435,141.9440758021137,787.1831991156591,185.62182012734522,1023.9798012168337
NY-Dutchess,73.49012654127714,108.17817277230111,86.91271779609681,320.94271509553516,179.54352372163999,530.8024801162559,281.4034192449371,700.6958504592995
VA-Prince William,23.154503630964488,43.09501416427391,26.049287031936654,224.8104112245013,134.82142233583545,548.8237069294532,289.48885798431246,925.5554237352862
PA-Lehigh,37.137250913893574,223.08443354213964,148.15366941471476,420.86010633084237,285.2454982726576,609.7780988360777,431.861852653237,786.89758334341
CA-San Bernardino,122.69575492025714,855.9514068411466,241.38826022292,1852.4276465671421,434.13045330627784,2620.532362396083,743.2109991533015,2985.938408713009
OH-Cuyahoga,96.87648852301999,678.2569689756707,216.65056217556722,894.8548288442674,370.2036515870816,964.3796693966711,563.3111164983325,929.1147381372218
SD-Minnehaha,260.7494635807873,330.7459427019738,253.0323441105948,1393.110268291629,215.5683357765811,2752.987493917847,238.17507039188226,3688.8253963932907
LA-East Baton Rouge,19.737843500995083,103.78327267506488,86.91520268832944,109.32562197994001,238.56818005985323,258.2713726503225,397.0981211122628,422.72968271620823
MI-Kent,80.24053612812531,29.094283515148867,323.8045753482391,148.91092352549376,652.1090334782513,394.28180322035445,932.5443395651768,614.1949348882008
IA-Polk,74.98796239600642,18.25254412528154,243.38522115188377,115.12719709989973,611.936839293287,420.2707358338203,1038.6196813270872,784.2267423299901
WA-Snohomish,70.42647212127486,48.166082331586274,124.01590804585024,108.99188844268355,207.94588440526275,207.88781782657242,295.5527129975234,304.8725691561833
MD-Anne Arundel,41.39371653880755,223.07165468246447,171.54704465223034,238.86923876147762,359.8826514274193,203.99490509908867,585.9854488618676,279.2956715390998
GA-DeKalb,112.26030527140422,150.8637436517957,136.80346905234694,174.64727393863024,186.40023665462573,149.58714466631181,252.36336374974627,178.34594915362456
IN-Lake,59.45833014221858,143.26261930840076,191.50328301710405,121.25777464976804,398.49133842642345,212.52604372817478,605.3713234034763,388.54633080652104
DE-New Castle,52.287675637996486,94.93308651101772,45.294192108306675,84.49373570659561,59.7245282644654,156.39670811769153,162.37097755719086,328.1851806915326
PA-Northampton,90.80332339553843,208.4049596389872,256.7344353312734,424.1357971092908,449.10066908406617,644.355550970262,606.0422266346305,818.8889810941514
GA-Gwinnett,115.46762933435545,340.65949206169586,223.1205575631529,507.96985585446237,396.33892378355137,531.5676927433141,584.8080115471284,485.87288878490784
CO-Adams,25.186407771224907,63.78964339385445,64.34537508818543,89.93609845794781,153.7628914372397,237.47059524999727,280.0267707247493,443.4446440533248
PA-Luzerne,16.987973512953513,163.13973559080173,99.3843995288064,305.34390051652707,205.6461395101827,440.89345824189223,301.23383077109946,553.3701820477194
