county,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31
FL-Miami-Dade,301468,431473,475379,435553,380505,493915,503844,516989,523294,543372,462476,377347,482518,443632,518985,505406,474449,458973,391396,412904,445186,494869,445545,533502,392040,344855,486692,426698,439413,475447,564617,424253,337115,449872,407811,404680,410643,440361,426267,333675,433184,409346,421727,440558,478447,377165,336836,356400,402174,419235,463795,465936,404169,340247,428746,330059,461846,464661,462819,397212,309684,413364,425042,402304,423141,448464,380261,304455,405329,396607,387328,399210,442779,311351,246283,281037,266848,247551,235985,188641,120054,131946,185086,149572,97673,157493,154694,128229,105683,152572,145317,143198,143787,146771,122459,91189,128448,131465,132337,132642,134532,113615,74661,122553,124690,131185,129961,141486,121797,96145,131218,141512,144952,151601,162102,136912,102998,153916,157292,156274,151777,182351,154495,113809,160004,168060,168395,170380,184876,175013,117492,159505,168940,172723,167655,166725,165624,131921,176157,182140,188763,189009,212611,183448,122919,133755,189361,203237,213189,230320,212750,162527,221553,218714,225522,217438,246790,210678,162793,226253,232600,234015,238534,238717,216309,175511,223363,227887,219444,239063,241110,240873,159552,234906,240714,245403,248411,257000,220065,176585,226600,242602,227255,217183,221875,166773,152969,206529,218587,192829,219748,227000,191698,157628,214259,210132,213568,215128,222996,179209,160002,205392,199696,201582,203802,225091,198003,158479,200624,215493,228181,238573,255927,197896,167134,220903,236146,234957,228300,245515,212735,163885,224678,230054,225736,232291,246845,218959,177719,224130,246607,224939,249947,280259,237213,174133,215974,225708,230343,229019,233506,222976,158274,202381,228017,226811,241520,253114,227780,180478,177993,223999,228444,234187,251887,202921,174022,222529,202731,232281,228099,217909,215866,164625,177217,204330,230940,221382,247621,223949,182459,221114,233251,241486,237349,256426,226302,168348,228880,215039,252920,258520,268983,245305,196012,237767,247089,253606,255804,259248,252840,204808,240030,235102,225655,262989,279444,242405,190408,243705,248478,248398,255592,267520,226174
FL-Orange,388877,459286,479428,440978,385349,400342,403849,420467,429226,457265,428321,357049,389799,348009,417128,418677,429061,483970,430064,399962,362604,403685,370853,455079,382702,335852,392423,334402,349403,386094,470257,390755,304124,374670,332981,345215,376965,426070,459450,367417,383703,337177,348770,367405,446370,434158,375233,364639,347444,366946,417490,414068,414296,350335,379375,303114,410436,421721,433281,416385,323725,349292,335421,322882,379048,420056,418627,339713,339808,328269,316812,336906,361199,288104,231937,207120,182420,160591,150719,124564,81185,88167,126369,107359,76035,115823,85744,75183,63768,92334,91994,97571,96666,98354,80863,55278,86206,88009,88003,90311,93300,82615,44225,78336,80384,85116,81909,94550,74532,65172,83353,95360,98039,99014,94049,93996,72264,101682,102328,101287,97222,117332,98595,72710,103379,110737,113097,114567,124958,116773,85683,113688,117487,120207,124803,130108,118211,96947,122310,129747,134030,134203,149858,133626,109235,99168,138079,142549,142829,164690,158512,133199,150580,148640,152956,143261,168244,143942,116472,153985,159209,159058,166818,168817,161267,138905,158030,150796,156392,169129,170963,173853,122543,161505,160614,168695,170708,178370,162027,131680,153374,162827,153351,151853,174184,129620,126855,147836,152939,139849,162578,174813,161287,128567,155262,156992,152014,161984,178377,161911,131974,151981,156651,161746,159305,182974,173777,137923,150077,153044,168571,172756,189666,183477,134253,161260,162724,168146,172396,188049,181523,140554,161046,158938,162576,166349,189333,191696,152911,155956,165265,172517,185093,223667,208981,154752,163341,161749,163139,164043,173647,180507,123542,140415,164483,165281,179084,197046,208616,178046,144672,160883,163073,170410,191394,184105,139375,157813,146414,170622,165371,170622,185876,132361,141743,149196,172361,170495,199282,193760,154867,155204,166679,184065,182806,207761,198043,136496,169692,155232,180294,187803,210547,218113,177765,179207,176584,181107,184938,212911,211186,165208,166359,166591,175373,183028,211904,213382,165399,167098,169871,176458,188157,208837,186292
FL-Palm Beach,162272,237014,254374,224998,193447,231923,245824,255589,258317,271678,245265,195127,243644,224214,265814,260083,246907,254669,212248,226328,225355,260276,231897,275936,206672,179968,247440,218407,225711,232942,276053,213893,158448,217390,208365,208754,212742,229434,227576,179716,221716,212101,221673,226980,251139,219571,185726,214369,217562,225922,256733,250078,226790,191815,228794,190564,260803,262804,241402,218739,170644,214084,218481,200902,217227,232603,207484,164737,204785,196404,196423,200875,236192,167296,136246,152782,149614,133438,130183,108269,64742,73304,104912,87525,59014,90066,85991,73410,60989,88846,81395,84661,84763,83320,70374,51025,70581,73559,74641,74262,80227,71688,37775,65578,67600,70932,69980,77410,67067,53459,70123,80473,79889,83304,87874,77948,54726,83868,85779,84783,80047,98317,83228,61719,84721,88681,90535,91011,102868,95033,62664,91755,96900,99001,99007,98313,99812,83868,96001,105757,108267,107308,127637,118079,83742,79557,112121,114741,125166,139566,126851,104526,122778,124361,118967,121049,139082,122422,94826,130179,132559,131723,138355,133139,122497,103594,125070,122496,125251,124423,128759,139832,94853,132040,133526,136277,135054,141649,123683,100891,120802,128350,119946,114460,125562,85445,81469,108559,116986,104130,120237,128980,112539,84827,116211,115783,117679,120628,128622,106648,91872,112131,117045,119608,114456,134364,118791,92696,112812,120139,129506,132559,143809,103137,75989,119049,129517,131533,129423,141577,125955,96879,128250,130445,132314,132119,143616,129808,104854,122997,136539,127868,137895,163859,140804,105587,123121,128437,129461,129223,129732,129610,85392,100702,125385,125373,133564,142776,135266,109290,102997,121588,128335,132092,140250,129610,99242,121983,108750,129362,128309,117892,126115,100702,108552,118776,137470,133573,149434,134209,112996,121842,129641,134175,129912,142565,130216,92123,127026,114914,139488,142549,151079,139058,113706,125368,131774,136223,138630,144759,142883,113581,120744,129847,127296,135920,154066,139324,111406,132010,138525,140495,143427,151544,124218
FL-Pinellas,140996,180816,193295,160966,143202,171973,176517,184890,188813,203401,186671,146570,170519,147680,187056,182069,170523,194070,155707,165928,146790,180305,155019,197082,138000,122443,173836,140289,142996,154419,196805,152014,107906,147366,132688,135605,138060,155687,165495,130375,153790,138594,145041,150163,177939,158384,137425,139045,137516,145300,172334,168066,161751,139832,156232,146659,178983,179955,170798,154698,125075,149242,147834,134358,147982,158242,144536,116214,142006,138441,136488,140391,169423,128352,114177,120410,121009,110394,102923,82800,52823,60074,83581,68608,50426,68296,64604,57877,49042,63110,63108,65123,66671,65628,56876,38563,55786,57246,57408,60228,63022,58834,29786,49451,51631,54445,52965,60886,50835,44868,52227,63353,62745,65542,57412,64910,50192,65403,65592,66291,63758,76888,68437,50104,71412,75156,77460,79937,89497,93630,63863,78414,81195,82304,84708,90492,97665,83270,80529,86372,91555,93974,109355,109137,93655,78975,93884,94652,98454,110257,111630,92566,103462,102192,102833,98609,111758,88614,81059,104762,107457,104239,108703,112669,109247,97650,105901,99893,103454,112396,114429,122870,90986,110029,108205,113988,114268,118918,111173,90629,100817,104560,99058,99547,115064,91168,83676,93894,97327,87757,102834,109138,101461,83397,97872,98435,101076,100985,109608,103218,81411,93756,94088,102280,96123,113096,106264,86591,94264,95304,101987,105367,109739,107254,89464,98688,104350,102741,102795,111670,107199,81218,97498,99329,98963,98955,113331,109419,83657,91289,103250,100300,105732,131974,116631,85393,97477,97835,97311,100507,102130,102839,61755,82350,101493,101211,108754,120423,118601,103801,83873,98808,101342,101974,115409,106202,69503,97437,83025,102117,97077,98372,104763,78913,89471,88922,105153,103442,118322,110051,86925,97549,98440,105110,106638,115372,105646,65161,98567,86683,106568,110026,119381,116476,91205,103456,104215,104528,107992,119052,114586,91080,99372,100249,105806,109400,120003,115312,90853,98043,101962,105044,106094,119753,94620
FL-Polk,61281,93981,107480,87847,78721,103986,103947,108703,111328,120813,99814,80881,100695,89539,111106,110111,104343,106392,88084,90748,89519,106081,94189,122530,83813,70935,105235,86796,89146,94451,122686,89103,65563,92675,83981,84477,85617,98080,95659,73771,93215,85139,88530,91109,99818,89095,71137,74193,80534,85029,98787,98656,87588,73336,93143,77481,105811,108189,106735,93069,73356,90291,89593,82591,89233,100197,86332,68975,85303,85295,82257,87690,106469,73638,59396,67654,67312,63741,61614,50646,34905,39038,51848,43575,27855,47397,48274,44402,34346,46007,45597,50697,50702,46607,39105,27530,39287,39949,40798,42412,44654,42210,20380,36902,38300,41595,39376,45273,38372,32557,38117,43825,44399,46085,44719,45894,35356,46107,46543,46236,46406,55462,47686,35563,47087,49301,49830,51359,57631,55300,40541,50761,52266,53087,54246,57655,55100,44442,51546,54287,55494,56032,64091,55012,42889,40499,57028,58984,57418,67837,58844,47986,56574,59428,61513,58005,67193,57767,46753,61676,61990,63907,66792,68389,60069,52140,61462,57623,59889,64542,65305,67118,46963,59901,60225,63364,62124,67675,60460,49719,54733,59201,56018,55443,61580,43016,41798,51561,53727,50227,57946,64922,59522,46883,54273,53968,53676,58131,63210,57428,45567,53576,55314,55845,55245,63703,58957,46117,52070,54419,59402,61654,65405,62762,48588,58781,61377,60765,62180,67224,61845,46469,59941,60235,60096,61118,67404,61457,48471,58153,62266,63739,67849,80465,68985,53349,62969,63238,62445,64997,68525,65843,44073,55053,67334,67632,71795,76337,67484,55152,49892,64801,67616,68135,75282,66943,49946,64385,58628,68185,66957,66614,65359,47802,58963,59923,69155,68817,78397,69900,54742,64537,65394,69968,72647,78645,68796,46007,66380,59301,70023,73137,79824,73900,57491,66770,67430,68559,72212,79338,70261,55666,64062,64760,68833,70478,78443,75055,56915,66981,68007,70505,72322,81974,64961
GA-Cobb,72391,110663,131865,133618,110132,132291,135258,139072,140008,156185,126995,114755,126730,121041,142390,138262,147658,145622,122597,120049,122546,137134,124533,147887,133903,103058,129904,122213,124260,128242,151445,139180,94321,120268,116793,115479,107566,135082,115005,107613,115125,119359,125689,124212,144243,125495,92384,106744,96626,106921,106886,118263,124928,99271,111583,86924,130291,131613,138011,137429,106477,111041,119657,112982,116501,134127,132433,101302,116905,112893,117532,121837,127811,93617,62719,74443,69753,64976,66010,54984,35396,39856,51916,47273,25646,50703,53217,48794,36089,49471,46738,52302,56216,53998,39584,30099,43220,42859,45480,46101,52311,48296,19566,41399,44663,47446,48041,53013,48600,29775,45802,49610,49706,45801,58975,54833,40018,54213,55581,50922,55167,67911,64081,43340,58433,62094,63506,64027,65829,71746,49186,61222,64116,66927,67536,74374,71054,54402,66118,71866,71906,73377,82850,73000,56892,52671,70857,70097,74218,82569,75632,61478,75859,76879,79047,79927,87611,80427,60927,77872,80492,80363,84784,86216,82628,62887,76075,78912,82294,87798,89621,88252,58720,77621,81048,83017,87580,94441,85057,70391,80613,83723,82105,81652,87843,58806,59412,76491,77846,76181,86470,99633,94283,69204,80443,82966,83629,84498,93424,87708,70315,79844,80581,86099,83877,90591,87356,69275,79034,80835,85667,86811,94894,97777,76342,82091,86877,87486,88014,95513,90673,68920,81589,86487,86236,89145,101090,104131,78970,82128,84216,81604,83673,98160,100796,73686,77629,74921,81860,80551,83118,95336,65065,74092,82962,86426,86562,95845,91967,71083,63794,81555,85120,86598,97958,97851,71775,78046,76945,80705,76475,86301,91723,66162,70281,78887,87147,79178,93515,88672,68069,72429,72534,81343,81343,89565,88372,67700,80700,78618,87148,88861,93414,90846,71848,83712,86811,89289,89455,99271,98913,77356,81365,84323,86182,88342,101035,91500,76047,82899,86273,84290,83855,101915,88004
GA-DeKalb,56796,78943,90563,87289,74289,92410,98262,99620,101363,107125,87521,78403,90343,86015,103168,100661,99109,93968,80117,78134,87744,97723,90020,103368,84953,70355,94395,87743,88164,92923,105234,93197,69395,90909,86915,85772,78474,94519,78096,69941,85550,86637,90899,88260,94523,86412,66599,74391,76209,84768,85639,93671,86928,67779,80051,71214,98187,96260,96348,88773,70940,79254,82347,74467,77942,87482,78643,61918,78232,75126,75506,80729,83481,63074,47967,54890,50858,49124,48846,42281,30231,29522,38686,33668,23449,38203,40226,35311,26891,36820,32614,37076,39331,40036,28937,22734,31007,31535,32587,33315,35807,32929,16598,29725,31496,34063,33624,37539,33430,20284,32752,35066,35229,32820,41220,37561,28397,37446,37680,35538,37896,46617,42681,29086,38186,41217,42227,41358,42140,45591,32670,40803,43022,42947,44232,47639,44075,35561,42230,45616,44308,46987,51904,46272,35715,34262,44054,42714,48235,51941,47054,38441,47874,48197,50095,48700,52499,47179,36448,49024,51398,48889,53448,52340,48287,37969,46655,48461,50482,53533,53510,52209,35659,48459,50139,50688,52660,56707,48508,40092,48856,50390,49739,48585,52329,36274,35163,44482,44602,43214,48533,54252,47734,36222,48006,48009,49269,50059,54608,47550,37877,46825,47029,51883,51000,54315,47329,39987,46895,48280,49936,51582,54817,53005,43019,49714,53586,52248,53771,55777,50112,39427,48246,51544,50405,51566,55275,51637,42355,47913,50286,49608,50183,59813,55389,40829,46538,44615,48909,47830,48671,50688,35029,44042,49168,50925,52806,55687,53083,42471,37712,48225,50232,50590,54599,51152,38948,46491,43832,46788,43609,48876,51042,38439,42807,46364,51306,47310,54124,52089,40952,46114,45351,51364,51680,56379,54411,40004,47759,45729,52350,53198,55092,49881,40322,48378,51174,53047,53043,58593,56797,43751,48499,48944,51428,53067,57767,53363,42753,48745,50331,52183,50288,58594,50474
GA-Fulton,169269,189542,200195,188487,150168,206947,214847,227722,225424,241275,185943,165092,204493,199453,237585,234734,227014,213598,175167,175574,194781,221924,201323,229395,193650,145855,209796,200401,203186,213297,235481,198658,131182,195042,189877,189428,174422,212677,167015,142569,184714,190657,200122,195951,249657,235813,176685,166864,168191,188694,193100,208396,207102,147246,175051,150222,211031,212621,213814,213024,140250,167715,179054,166799,176480,198284,189872,137743,177657,160411,164369,176371,171616,127061,86653,102327,96469,88806,89879,73473,46549,48969,68524,60570,41733,68593,68631,57554,45361,66789,60408,66671,67478,65130,47301,37086,55855,55764,58564,58621,61725,53654,25828,52003,56719,58964,59636,63276,54335,33112,56892,62609,62976,57146,72000,61143,45967,66579,68950,64019,68221,81054,74711,49164,70704,76565,78350,77774,77131,78769,56087,75809,81131,82009,84737,89685,81277,62951,81014,90594,87100,92658,99122,83845,64760,63238,87953,85736,94216,100563,86243,67660,134845,124317,124560,126975,132197,119289,94124,126101,128358,128042,137171,137667,126804,99461,124829,120424,124452,133440,137172,127162,84417,125565,128542,131772,136447,145418,122095,101116,124529,130158,129802,122861,125126,94712,93744,116203,120064,110398,128232,142521,130306,98785,125251,122357,127329,131824,142032,126768,103252,121532,142058,151012,155791,163088,152064,127113,149472,161404,169317,168190,179434,170720,148643,133976,134589,138715,139973,145853,140140,105590,126778,135647,154887,164292,174589,169782,143162,156194,164430,159366,165889,185917,179825,124125,141510,135513,148059,149857,149664,154968,110247,135949,147233,145219,161320,165594,160294,137493,118164,143914,153902,155109,170254,166426,125768,143511,141380,145496,146427,160113,166049,121848,111482,121615,134576,123966,145087,139221,105536,119372,141692,152798,152322,168000,155636,103713,140824,136142,150528,159270,166945,149381,122727,140716,151693,159224,158433,176044,166564,127003,145335,157924,158627,165244,181708,150810,128962,140958,149410,134134,156490,180634,166019
GA-Gwinnett,82577,119054,144069,148196,118488,142961,144712,150410,152114,170014,145242,127965,136754,130297,152484,148322,156726,155696,128790,133293,133160,145284,136676,158186,140630,112873,138865,131779,134055,140249,162563,154950,110236,132244,126747,126541,115975,147824,109764,115594,127470,130798,137659,139212,151042,141606,108038,118976,116132,128921,126727,148684,147433,114697,120959,91355,137749,140602,152834,150573,116567,124790,134503,120260,123043,144820,141737,110793,125562,122689,124769,135813,134772,106989,75671,85679,82678,77388,76091,63277,42590,47018,57925,50966,28718,58766,65708,51486,39810,54124,48630,54654,58836,59340,46681,36655,48066,47891,50084,52320,59592,56252,23245,48091,51154,55020,55224,62469,58086,34637,53129,56870,58066,52227,68537,65472,48683,62034,62850,57886,63552,78254,73641,52828,66891,70372,71789,73660,76412,86983,60867,71020,74657,74721,75844,85899,83601,66022,75752,83326,81234,85784,95078,85753,66024,63653,80693,78042,85734,93716,89075,70203,85796,86635,89082,88962,98866,92324,70673,89305,91935,88836,95657,99305,95671,73859,84828,89249,91545,98109,99727,103664,72513,87538,91964,94370,96816,102665,95846,80207,88262,91497,89516,89455,98293,65182,65630,80690,84091,82378,87569,97549,93144,71790,86960,88326,89043,90304,99094,91583,73614,85834,85906,91494,91581,99981,93691,76685,87431,89379,95430,96911,107877,103889,83701,90847,97054,97668,97534,106315,103491,79753,91891,98719,90627,89182,101193,101926,79042,83901,87940,86098,88138,105823,108603,78485,82479,80309,85105,89121,91549,104241,71481,80643,92208,93845,98912,107727,105021,81586,75379,91830,95574,96920,107294,106065,80520,90820,87197,89891,87726,99675,101999,76441,80287,89552,96808,91140,108995,105412,82025,91054,88200,99140,97501,109224,107634,79236,89631,86751,98919,97246,99040,94494,77140,92522,94954,98670,99458,111686,107327,84879,92211,93102,96354,99199,111069,106625,84801,92318,95879,97268,93149,109922,100292
IL-Cook,403327,620770,671136,608688,517219,654843,691281,708518,731887,777049,597319,533163,655929,637417,715271,702682,663282,634685,545931,571611,634623,697472,635939,725473,549343,491867,671436,603480,612652,655532,723726,599021,453861,595074,570314,560354,559767,645380,619715,449290,607293,591983,595751,588653,653789,578788,502016,494203,545585,572418,622864,637732,598852,496439,600234,492404,645415,655892,656432,598501,493763,564016,602526,562120,620321,649900,637350,527769,560022,552054,545023,560595,623632,441136,367500,382553,342393,293985,301456,265440,179164,163177,234836,195997,163144,224131,224001,200195,170482,232507,211490,216612,216812,237410,195792,162934,202021,215736,204207,204491,217770,201978,127875,170590,180906,186707,199938,198277,203055,165050,206000,215587,211820,221946,234434,201724,189752,221627,230579,205021,224108,268341,243145,182468,217189,217971,242162,245142,250917,263334,188181,223938,242964,248185,225915,261907,249356,169237,248675,241802,265558,263327,292009,259479,235220,217141,273584,274919,274985,316182,303086,227806,293600,290282,307347,319369,345409,317176,260206,337911,320318,329599,357382,345658,328031,288123,336025,320545,334743,360135,357573,357223,264623,329517,354481,359119,372737,351859,361349,297840,335428,371488,347719,340225,364705,266121,263467,323591,325615,307793,347805,373944,341816,282486,341846,344227,332610,354310,383987,343075,264982,337708,341205,367450,366125,389994,361645,293652,336905,362106,368110,383779,402066,377773,327174,366891,386999,383966,385755,406234,361283,294740,327067,377580,372961,373158,404669,368190,309871,350697,371753,370022,389295,447448,396448,301387,341551,350382,339955,350315,347383,359797,268423,322931,356134,370181,405169,429311,397093,308605,290271,326037,361954,354734,386449,369389,311164,336997,319639,363355,350869,338973,364169,283102,298487,324249,364997,363919,403601,382995,316329,324813,339353,348611,343455,387247,371452,272462,329106,317146,372159,379763,405598,398038,330685,334568,349565,358621,363066,393800,392350,289418,326018,330681,343690,360400,370486,385418,298742,316703,324357,342111,340227,370622,327184
IL-DuPage,74181,130206,144432,135195,108828,132611,141579,148007,150217,164387,125788,108329,134336,131874,147381,145724,138457,137526,114039,129668,133492,147371,133260,152824,125026,105233,136722,127654,130039,136685,158319,137951,93925,125331,122699,122632,122684,142312,144338,97767,128232,128076,127977,124441,147024,130551,108060,112899,119279,125544,133351,140515,137824,111865,129522,98240,137009,139977,135990,135941,106498,123293,126879,122988,127227,138667,136274,106390,115645,121023,118227,121042,136617,92489,73183,77045,69872,58333,59408,51525,30634,26379,42379,38047,27393,41398,42303,37176,29371,43241,40967,42351,43793,47678,38856,31309,39544,43545,41939,42208,45025,43112,22105,34820,36520,37590,41510,39765,41215,32259,41068,43662,42879,45381,48605,39822,37620,43935,45887,40566,45797,55265,49078,36901,44707,43847,50065,50226,53513,54832,35520,45739,50562,51464,46427,56598,53466,33485,51046,49839,56144,56853,62557,52344,46368,41858,57877,56848,58989,72527,67538,51365,68376,70486,73225,74736,80206,74472,58617,76124,70507,74820,81281,79277,75086,63313,75760,74778,77328,83266,81365,80114,56356,74621,85018,85589,87545,82186,83475,67668,76326,86771,82171,80692,82019,53093,57120,76361,78707,74410,82592,88857,80021,66170,81030,84163,79914,87909,93830,81102,63201,79966,82304,88061,88200,92991,84258,64839,79519,86109,88428,91256,94440,86707,73612,84694,90753,90797,90185,94031,84684,66152,77845,92878,91434,91679,97663,87632,72032,83354,89299,89535,92279,104777,95087,71339,81158,83894,80927,84265,83224,91662,64682,76907,82554,88351,91718,97696,91053,70006,65886,76710,84923,84035,93467,92760,73198,79310,77101,86973,85064,84452,91493,65185,69695,78997,89493,87614,97998,94522,71821,77892,82518,85380,85374,94893,95583,66614,80405,79859,90716,92211,98794,97339,77214,80617,85808,90321,88637,97645,98358,67065,78967,81259,84412,90112,87386,90148,65620,75090,79600,82982,82816,91784,76429
IL-Kane,37146,59738,66328,63826,53218,62881,66768,68952,70539,78305,57124,54407,64062,62949,69524,68983,63066,63417,55183,60286,62532,69815,62989,72387,58523,53492,65266,60647,60750,65075,73505,66307,45977,59126,57736,57444,57557,66274,68683,46071,60593,59084,58650,59066,66729,58536,52682,48622,55148,57869,62242,65803,66598,54686,59926,43291,64217,65065,60798,64754,53989,57068,57098,56233,58601,64249,64858,52906,53157,57082,56212,57407,65381,47041,37719,37438,33916,28474,28987,25155,16122,14203,21328,18782,13573,20882,22330,19923,16308,22082,21257,21775,22335,25170,21618,18222,20268,22270,21188,21469,24432,23270,12238,18085,18997,20024,21181,21473,23391,19243,21950,22415,21636,22751,25106,21983,22012,22217,23403,20786,23919,28957,27511,21773,23746,23882,26193,26229,28060,30430,20507,23903,25809,26277,24799,29920,29381,19024,26653,26263,29517,29373,32543,29097,26022,23116,29494,29422,29874,36867,36820,31318,32100,33434,33903,37108,40137,39378,32792,37209,34476,37578,41026,41112,41937,35836,38235,38698,39075,41387,42497,44164,31496,37050,40930,43293,42942,40764,44536,36737,37068,42690,40817,41717,46010,29967,32363,38438,38150,37529,40107,45149,43082,37682,38981,40575,38694,44534,47320,43411,35224,39320,40388,42554,42782,46209,45029,37437,39570,42809,43718,44901,48231,45855,40930,42050,44308,43893,44110,47285,45728,36716,38338,44345,44074,44297,48632,45934,37927,40932,43446,42859,45094,52770,50023,38835,38877,40000,39442,39993,40589,46821,36047,37275,41341,42761,45763,51007,49493,37670,36911,37542,42255,41589,46898,47502,39763,40357,38989,43174,42190,43339,49476,35884,34405,38918,43640,43327,49835,50538,40697,39368,40188,42389,42018,48589,50588,36985,39186,38872,43989,45658,50151,51756,44001,39142,41514,43274,43187,49112,50951,36384,37489,39731,41860,43336,44411,48063,35994,37024,38404,41079,40439,46911,40439
