county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
TX-Harris,8121,3150,3119,3497,3499,2938,2112,1977,2979,3308,3226,3270,3047,1896,2695,2656,3073,3101,2992,2885,1941,2261,2353,2961,3208,3315,3113,2082,2730,2932,3041
AZ-Maricopa,7211,5095,4961,5552,8203,10172,8306,5053,4693,4873,5387,7119,8192,5259,4678,4358,4900,5497,8127,9413,6765,5422,5819,5834,6097,7621,8268,5496,4847,4901,5086
AZ-Maricopa,7224,2367,2469,2792,3844,3923,2893,2097,2302,2748,2807,3813,4013,2616,2259,2265,2675,2615,3746,4076,2602,2015,2477,2767,2957,4184,4114,2948,2310,2476,2649
AZ-Maricopa,7225,71814,72859,76114,91417,89972,70598,66032,67269,72181,74774,91599,93465,68864,64550,65001,72199,70696,85696,89064,63748,58308,70122,75383,77567,94701,95512,71849,67664,69989,76964
AZ-Maricopa,7139,21622,20831,21726,22110,19935,16312,16190,21246,22901,22131,22782,22022,15457,20479,20083,21772,21434,21121,22315,15859,18036,20402,21750,21577,22196,20579,15618,20203,21848,22788
AZ-Maricopa,7131,611,583,730,797,1033,879,728,584,604,611,727,1007,659,584,612,677,632,717,1062,653,390,426,456,464,726,1253,765,416,746,820
AZ-Maricopa,8131,3211,3374,3344,2791,2927,5215,1676,3439,3874,3576,3382,3284,5970,3305,3430,3682,3502,3008,3029,5987,2943,3627,4384,4105,3812,3361,6590,3547,3829,4462
AZ-Maricopa,8121,2494,2439,2732,2569,2267,1600,1461,2479,2651,2699,2667,2338,1499,2205,2397,2626,2488,2355,2216,1393,1962,2424,2597,2598,2620,2302,1548,2167,2388,2510
GA-Fulton,7211,2430,2528,2652,3516,5003,4060,2411,2451,2552,2664,3232,3797,2382,2462,2321,2523,2469,3270,4175,2626,2356,2429,2527,2591,3520,4344,2894,2477,2257,2459
GA-Fulton,7224,1579,1649,1954,2714,3782,3321,1957,1581,1685,1966,2606,3322,2247,1512,1514,1620,1670,2505,3355,2120,1478,1638,1916,1852,2701,3386,2466,1505,1475,1801
GA-Fulton,7225,22886,23941,25160,29200,29909,23447,18659,21572,23257,23976,29430,31081,20464,20771,21115,22120,22043,26866,29647,19726,18681,22483,24762,23055,29620,30452,21444,20941,21287,24556
GA-Fulton,7139,7074,7108,7267,7384,7147,6029,5176,6324,7145,7261,7511,7712,5667,6279,6452,6452,6092,6953,7444,5184,5645,6956,7721,6622,7680,7859,5854,6453,6452,7327
GA-Fulton,7131,50,73,64,73,168,126,59,47,53,54,82,111,52,46,29,40,43,59,123,76,46,52,66,46,90,147,67,42,48,58
GA-Fulton,8131,986,976,940,875,650,876,527,881,1049,981,946,795,1165,871,823,1001,799,794,734,996,778,901,1065,945,847,672,1277,882,899,943
GA-Fulton,8121,766,803,843,881,724,525,417,773,873,819,885,740,511,716,729,807,745,809,698,496,667,704,883,795,824,762,488,696,683,799
NJ-Bergen,7211,601,617,656,731,727,614,567,597,579,607,635,668,522,513,535,599,551,667,636,510,504,550,594,626,875,778,589,597,580,541
NJ-Bergen,7224,417,449,454,571,493,381,320,354,458,447,639,661,402,376,373,429,469,545,585,435,273,351,423,522,625,750,494,331,345,412
NJ-Bergen,7225,15840,15182,16984,19224,17763,12858,12990,14874,15690,14847,18825,20365,13133,13842,13847,14704,15204,17247,18314,11728,11525,14043,15542,15752,19563,20290,14015,14158,13070,15562
NJ-Bergen,7139,5459,4919,5628,5521,4633,3548,3877,5310,5641,4848,5844,5935,3867,5552,5256,5728,5781,5161,4983,3583,4285,5439,5900,5797,5980,6130,4241,5079,4902,5639
NJ-Bergen,7131,112,129,139,131,137,103,94,120,153,141,132,102,111,138,123,128,146,106,114,121,111,132,149,151,147,147,143,139,99,132
NJ-Bergen,8131,807,805,867,885,874,1157,654,810,953,861,937,1048,1310,852,857,974,891,929,1105,1175,702,860,923,947,954,885,1297,743,748,904
NJ-Bergen,8121,419,382,451,485,362,289,290,390,412,425,466,426,288,403,357,417,394,379,371,268,273,380,397,442,485,428,303,320,402,423
PA-Philadelphia,7211,1076,1021,1119,1314,1490,1252,942,1028,1092,1120,1256,1184,889,1096,975,1060,1139,1192,1248,963,931,1016,1270,1221,1318,1314,1090,1091,1046,1107
