state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,antibody ratio,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
ch,Chandigarh,9.78866389393444,0.3,0.1,0.2,0.1811814667609727,0.2,0.1182939900817355,0.0028481035664881,0.0156852190400683,0.0560207386661235,0.8200000000000001,0.0015914124722425,2.873742400883768e-05,0.0333333333333333,0.9188893609239088,2021-03-22,0.401059111939417,0.0333333333333333,1.329949912259153,2021-08-11,0.0364065081254963,0.0663903411041016,0.98401602707473,0.9670115563651152
ct,Chhattisgarh,8.58795284577816,0.286326804014099,0.1473589829724847,0.1879362220010149,0.143044796549873,0.2,0.4999981398568442,0.0130790648971142,0.0148111793542592,0.0609791700234797,0.8,0.0001059156366858,0.0,0.0696036633086763,0.4029295631178668,2021-03-15,0.4006717493265794,0.0333333333333333,0.8773974720968464,2021-08-03,0.0122821717699615,0.014443501352079,0.9986913588744014,0.9994885285746394
gj,Gujarat,41.96104103352288,0.3,0.1,0.2,0.2,0.2,0.5,0.0101793636882161,0.0122578349238339,0.0129295353492993,0.8200000000000001,0.0006979344091765,0.0,0.0333333333333333,0.9688292786323376,2021-03-20,0.3997916247900153,0.0333333333333333,1.4133856198389068,2021-08-11,0.0050079382016831,0.0123159081695625,0.9998103750679644,0.9971929780558568
hp,Himachal Pradesh,22.933440010769704,0.3,0.1,0.2,0.2,0.2,0.2350496826941048,0.0084849710656889,0.0105014996158946,0.0147336729322247,0.8,0.0015013154871202,0.0112120700727224,0.0333333333333333,2.2764479475584327,2021-03-18,0.3999231956172903,0.0340405545188931,1.8073522925214585,2021-06-26,0.0611869515646374,0.0523739164178631,0.9750732033423726,0.9884779790604684
mp,Madhya Pradesh,49.99942377616705,0.2899730713770459,0.1159037822318497,0.2,0.1998394068819195,0.2,0.0801061458885329,0.001435990025435,0.0130559368908307,0.0109438801654042,0.8,0.0005462726316241,1.919219494276704e-07,0.0333333333333333,0.836033316384951,2021-03-18,0.4008463568208826,0.0341444642786271,1.199589165178069,2021-08-10,0.006822020041799,0.1723476871377335,0.9994988427575628,0.7579061445203104
br,Bihar,50.0,0.3,0.4930514212156788,0.0926708334779839,0.2,0.2,0.01,0.0013350855553398,0.01,0.00681061677824,0.8400000000000001,0.0002378590977988,0.0,0.0714285714285714,1.6111160674714968,2021-03-22,0.4151626625281743,0.0380456437481296,2.793387883125787,2021-09-15,0.0046120408805783,0.2873016417076382,0.9998019049288784,-0.0539751319743635
mn,Manipur,8.706350603382463,0.2,0.4253793267982393,0.2,0.2,0.04,0.5,0.0200668826576384,0.2,0.0048987184851747,0.81,0.0,0.0855553832480576,0.0333603950928934,10.0,2021-03-20,0.3860004157753428,0.0534321699540973,6.880415961737699,2021-06-24,0.0120503183733985,0.0797152461629124,0.999231263876892,0.9482601881798683
mz,Mizoram,1.0,0.2,0.8865712007637456,0.04,0.04,0.0624781167495602,0.1675921159775131,0.0026409866102459,0.2,0.023786853589572,0.81,0.0,0.1271784597530156,0.0593689336669627,9.999940081200442,2021-03-16,0.3447477958605998,0.0714285714285714,10.0,2021-08-08,1.598467246579636,0.5863966117514069,0.027719514888689,0.5752258364963918
ga,Goa,6.343964095765871,0.3,0.1,0.1525307928210137,0.2,0.0837010715573301,0.2494885597435767,0.0123359027071901,0.01,0.0521197571234448,0.81,0.0050143674717755,0.0005793956039281,0.0333333333333333,2.0448191344509694,2021-03-22,0.4046336120701614,0.0333333333333333,1.5439624738635975,2021-07-13,0.0272295291154565,0.0415901761574032,0.9915483004409044,0.987803944952284
an,Andaman and Nicobar,49.9994403318375,0.3,0.2629373081125853,0.05808018436843,0.1999999618644504,0.04,0.0484314844685516,0.0109882163054086,0.037006735349961,0.0027979139191557,0.9300000000000002,0.0017044331639414,0.0137888840782336,0.0333333333333333,5.245283008525965,2021-03-16,0.4000410249805395,0.0667308266606169,4.100682416856856,2021-10-17,0.0064870702914694,0.201564271057202,0.9976644912906216,0.1423418374250513
as,Assam,3.7124991145412793,0.2767442143512117,0.8142238306573243,0.2,0.2,0.1084146650453639,0.4956394544546665,0.0130916263729666,0.106509222636652,0.0390696930115728,0.8600000000000001,0.0,0.0006229076886135,0.069618610655923,2.120696698341296,2021-03-16,0.4008472892860563,0.0333333333333333,1.5180652269099535,2021-07-17,0.0696093627818532,0.0738021030557821,0.94143445663674,0.9633755454412536
jh,Jharkhand,49.99997321234183,0.3,0.1595623364910057,0.1999999583552131,0.2,0.2,0.5,0.0194082614829042,0.01,0.0099603117500858,0.8,0.0,0.0001338793570949,0.064423301915946,0.9174958071715806,2021-03-19,0.4046210220447271,0.0333333333333333,1.075813370451174,2021-07-15,0.0077320706777202,0.0299827730670499,0.9995179237062396,0.9926456688651184
ar,Arunachal Pradesh,2.5553191987511945,0.2,0.8353744527306762,0.2,0.2,0.130928347414182,0.5,0.0057884983339347,0.1296324619897066,0.061235558420792,0.8,8.608889549946556e-06,0.0014717986727033,0.0434832405517854,2.0394707757893804,2021-03-15,0.3909198821116209,0.0714285714285714,1.8571020976600552,2021-06-18,0.0186788440828302,0.0531634296820767,0.9952808981303546,0.9875593826614636
tr,Tripura,6.576514120690947,0.2001590669744712,0.7993148393744824,0.0505471055300678,0.181021194612274,0.0721504952373598,0.06095090203761,0.0045303451682311,0.1158483725926901,0.0085585763419576,0.8400000000000001,1.726795900372231e-06,0.004967244308225,0.0528590973995053,7.853784858044759,2021-03-19,0.3971689529408319,0.068749701631006,3.423873151456032,2021-06-18,0.0059209985560533,0.1843244642930954,0.9996910816957704,-0.2820277888000684
nl,Nagaland,49.99999889200461,0.2416742931405787,0.1062949656731407,0.1886253047781235,0.1694156133787759,0.04,0.2086286423538044,0.0157608156128612,0.2,0.0017290238758533,0.9000000000000001,0.0184117161223928,0.0001699625355087,0.0671940576042158,9.99999995336883,2021-03-22,0.3982808887814784,0.0714285714285714,4.500490804748632,2021-07-01,0.007026735142421,0.1041048778661258,0.9995164254703456,0.9003792543152471
ml,Meghalaya,34.821866778132446,0.2947125262820121,0.1,0.2,0.2,0.1999617498703808,0.5,0.0232227277243901,0.1100123032286122,0.0074267893726187,0.8300000000000001,0.0015718371402093,0.016151082539533,0.0333333333333333,2.9816269732887526,2021-03-19,0.4001215938984377,0.0333333333333333,2.723249125058386,2021-06-18,0.1729553618991677,0.0992418439720119,0.8385148352257441,0.962599339458172
sk,Sikkim,3.8116462768345225,0.2,0.4994713262397573,0.2,0.2,0.0400041759521854,0.5,0.0128170842848617,0.2,0.0418834460527061,0.8,0.0,0.0009808791624986,0.0334368830320013,1.3866830328273714,2021-03-15,0.3939807613425453,0.0577322207490573,0.8028548062172172,2021-06-26,0.0226423634556761,0.0991752788311947,0.9963124671450576,0.8253617759981778
dn_dd,Daman and Diu,32.640922406979485,0.3,0.4224004644191124,0.04,0.2,0.1231369158457891,0.5,0.001,0.01,0.0096221214860522,0.9500000000000002,0.0005338402775286,0.0001576313717438,0.0333333333333333,3.7846349775482864,2021-03-19,0.4039439872067651,0.0333333333333333,2.5898600954528845,2021-08-01,0.0062161694175585,0.115123208902658,0.9996205067866216,0.6843227914684404
ld,Ladakh,6.336077075214489,0.2633734061164595,0.1,0.1638234038607939,0.2,0.2,0.1262216393497106,0.0016767115085106,0.2,0.0588613975733909,0.8,0.0049863231311745,0.0007267756079437,0.0333333333333333,1.146936766962313,2021-03-22,0.3763477624097435,0.0333333333333333,1.2660079324215088,2021-08-22,0.0961288695594305,0.4278608572580556,0.9984194082585216,0.88875247420608
