county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
TX-Dallas,7224,8550,5264,4163,4049,3753,3932,5648,7470,3977,3660,3722,3953,4004,5822,7248,5232,3521,3261,3618,4166,5982,6747,4106,3797,3630,4145,4682,7551,9505
TX-Dallas,7225,110962,75052,82967,73066,68918,78233,96586,101576,73647,76816,73459,77470,82940,103566,93869,77309,75822,69450,73078,83596,96908,95243,69866,75281,64224,85949,88248,104567,105007
TX-Dallas,7139,16699,11974,17178,15083,12409,13264,13331,13378,9013,13299,13361,14129,13692,15055,14471,13120,14551,14215,14829,16226,16809,15621,10165,13818,11033,15245,13958,14626,13737
TX-Dallas,7131,1165,620,446,385,325,435,550,1106,594,459,430,369,429,602,1000,963,693,397,381,445,599,1165,790,475,313,435,509,721,1224
TX-Dallas,8131,14109,20393,12284,12000,11265,9405,9835,10679,18333,9166,9619,11990,10504,10338,10850,18382,9206,10136,11423,12082,14313,14017,17389,7346,7179,12543,8543,8012,8576
TX-Dallas,8121,3663,2235,3192,2950,2661,3177,3388,3329,2008,2924,2871,3195,3212,3417,2938,2055,2976,2889,2890,3226,3350,2915,1933,2975,2613,3509,3752,3538,3062
TX-Harris,7211,12400,8748,11833,11831,11927,11781,13062,13015,9361,12065,12118,12252,11699,15955,17202,12000,10782,11793,12712,13705,14379,13734,9353,12416,11822,14312,14380,14995,14770
TX-Harris,7224,14898,10818,9176,8806,8735,9894,13334,15265,10574,9299,8477,9310,10254,13537,14085,10950,9330,8778,9074,10811,12707,14267,10791,9541,8659,10488,11326,12967,14279
TX-Harris,7225,180887,117966,133471,129592,128680,136929,170890,175458,127482,129631,125867,131075,141943,181176,165341,131458,128009,123020,129971,141728,166540,167885,127799,127783,110080,152194,153566,171885,171250
TX-Harris,7139,27881,16290,26591,26115,24427,24801,26179,26666,18406,26560,24926,25506,25713,25190,24899,19249,24204,25005,25618,25720,25978,26216,19208,26161,21018,28611,27113,25721,25751
TX-Harris,7131,1378,747,466,505,501,536,744,1632,1147,500,541,532,636,862,1445,1033,709,564,530,569,776,1360,975,580,606,590,632,922,1880
TX-Harris,8131,9553,19937,7470,7541,9086,7354,8418,8824,20522,7433,7689,9675,7446,7846,8298,19163,5563,7024,9405,7588,8237,8788,19153,7153,6644,13784,8089,8363,8634
TX-Harris,8121,6871,4637,5990,5745,5744,5810,6638,6288,4458,5902,5643,6122,6049,6493,5966,4223,4976,5270,5657,6021,6290,5910,4384,5702,4854,7063,6648,6589,5938
AZ-Maricopa,7211,10738,7815,8991,8553,9010,8963,11500,12013,8535,8711,8656,8881,9890,14860,16193,13777,10372,9141,10138,10661,12115,13257,9703,10773,10561,12287,11549,12344,12306
AZ-Maricopa,7224,7914,4518,3906,3768,4002,4431,7687,8642,4501,3885,3995,5136,5162,7502,8039,5914,4400,4432,4960,5460,7490,8528,5595,4842,4535,6055,5546,7809,8155
AZ-Maricopa,7225,138647,81284,95547,93495,96763,99899,130786,137189,99292,95431,94085,101119,106586,137853,131217,106553,102108,93255,100997,110229,129096,124709,101473,100674,87138,118524,113346,131795,132918
AZ-Maricopa,7139,41059,27580,35139,32113,32416,32496,35888,37113,26967,34632,32300,35457,33630,37234,35381,31073,34105,32695,35318,37730,37949,33004,29438,36578,31174,40554,37972,37988,35268
AZ-Maricopa,7131,2888,1793,1683,1190,1235,1445,1920,3373,1870,1352,1281,1626,1354,2223,2421,2253,1808,1360,3495,1342,1700,2178,1903,1111,1169,1273,1121,1854,2594
AZ-Maricopa,8131,7111,13187,7102,7526,8408,7219,7906,6748,14244,7411,7896,8589,7332,7022,5793,13208,2981,7533,8724,7898,8286,6585,14499,7644,5438,11345,8119,7907,6106
AZ-Maricopa,8121,3514,2287,3746,3977,4013,3917,4296,3492,2374,3980,3940,4197,4237,4310,3300,2472,3336,3970,3999,4380,4167,3437,2400,4074,3486,4793,4578,4413,3621
GA-Fulton,7211,7580,4522,6172,6395,6464,6263,7785,8446,5373,6129,6412,6271,6321,16183,18465,11639,6210,5618,6268,6768,7712,9336,5544,6399,6512,7759,7112,8555,10592
GA-Fulton,7224,4213,2579,2126,2101,2317,2094,3243,3890,2446,1982,2423,2570,2708,4628,5802,4146,2082,1912,2283,2658,3196,4789,2922,1835,2102,2715,3142,3301,5030
GA-Fulton,7225,46545,28725,40383,40383,40611,37938,48058,40132,32164,38676,40132,42455,41829,60170,64553,47964,38535,36016,40037,41144,47950,49376,32943,36870,32386,45353,46092,48995,50238
GA-Fulton,7139,15222,8032,11789,11297,11229,10014,12270,11357,9772,10706,12167,12025,11541,14315,13621,9496,10397,10167,11696,12202,12230,13809,8954,10411,9569,12876,12583,12454,13346
GA-Fulton,7131,322,138,73,71,103,109,132,263,143,46,50,53,116,338,603,277,115,36,91,89,149,405,179,35,53,99,187,125,431
GA-Fulton,8131,2241,5900,2663,2219,2652,1920,2293,2104,4829,2244,2230,2749,2152,2083,2095,5480,1643,1851,2435,2017,2176,2363,6241,1966,1701,3331,2627,2365,2675
GA-Fulton,8121,1957,1397,1955,1930,1932,1741,2119,1590,1390,1882,1987,2114,2105,2283,1845,1215,1827,1695,1931,1995,2115,1978,1403,1788,1637,2319,2241,2125,1945
NJ-Bergen,7211,1077,699,926,1020,989,981,1189,1396,904,884,1007,1043,997,1298,1636,1258,1077,1021,1142,1108,1234,1349,915,995,951,1277,1209,1198,1468
NJ-Bergen,7224,1049,640,495,561,579,636,884,1055,956,543,567,600,694,900,912,597,537,548,608,661,877,1011,693,512,465,627,688,914,1156
NJ-Bergen,7225,29422,17005,20651,21083,20982,21203,26609,29891,19663,20417,21378,22289,22585,28936,26226,19463,22504,21076,21740,23388,26895,28255,20798,21311,15142,22623,23236,27590,28623
NJ-Bergen,7139,8490,5425,7775,7768,7784,7366,7315,8643,6587,7532,7870,8106,7708,7061,6776,5703,7344,7243,7525,7696,7327,7893,6391,8388,5417,8741,8176,7739,8072
NJ-Bergen,7131,118,105,167,132,143,143,147,133,101,148,132,166,169,167,129,106,140,128,165,177,196,164,155,190,134,168,186,176,144
NJ-Bergen,8131,1823,3260,1548,1479,1514,1418,1754,1672,3378,1537,1530,1645,1385,1491,1697,2678,1033,1085,1394,1306,1706,1764,3173,1381,974,2563,1451,1686,1742
NJ-Bergen,8121,864,640,797,806,813,812,888,882,647,787,801,917,822,1034,792,627,782,841,812,894,872,904,695,894,655,870,875,965,856
PA-Philadelphia,7211,3305,1876,2631,2618,2677,2673,3075,3343,2224,2812,2732,2874,2791,3616,4028,3094,2473,2706,2879,3392,4034,4001,2400,2662,2610,3289,3372,3313,3126
PA-Philadelphia,7224,5251,3390,3882,3647,3751,3963,4986,5987,3891,4051,3958,4305,4121,5288,5407,4386,3794,3904,4041,4493,5552,6089,4047,3991,4425,4634,4591,4922,5053
PA-Philadelphia,7225,43372,29659,44509,43139,42750,42975,48111,48720,36773,44871,43953,46425,44109,50664,47184,39171,40905,41574,43229,47138,50233,45374,33982,43974,38514,50871,50058,49567,42697
PA-Philadelphia,7139,8244,6308,8997,8873,8515,7972,8525,8100,6525,8278,8452,9213,8301,8775,7996,7227,8062,8627,9102,9033,9469,8883,6931,8568,7597,10447,10028,9314,8192
PA-Philadelphia,7131,261,255,290,288,285,295,286,243,234,256,301,285,301,295,287,266,276,271,300,305,338,251,284,280,268,327,313,304,252
PA-Philadelphia,8131,3271,3842,3311,3452,3460,3331,3681,3627,4065,3462,3468,3836,3346,3573,3376,4006,2894,3231,3524,3441,3893,3631,4154,3490,3698,4601,3916,4114,3270
PA-Philadelphia,8121,1880,1462,1848,1816,1801,1820,2162,2044,1596,1765,1792,1855,1768,2025,1971,1622,1668,1701,1763,1871,2118,2084,1662,1911,1750,2194,2145,2224,1926
MD-Prince George's,7211,5339,3355,1679,1678,1754,1433,2075,3088,1930,1437,1561,1642,1898,3177,4314,2944,1531,1415,1456,1527,1706,2352,1581,1497,1491,2036,1955,2243,2651
MD-Prince George's,7224,1154,787,291,319,327,256,517,876,431,243,320,306,344,618,730,507,313,286,307,305,459,715,429,253,240,330,366,563,708
MD-Prince George's,7225,20629,14758,15477,14827,14765,14803,18374,19866,13893,14422,14579,15489,15220,19039,17598,13958,14276,13784,14491,15752,17579,17653,13743,14411,11782,15914,16486,18622,17898
MD-Prince George's,7139,3768,2278,3324,3132,3070,3012,3080,3951,2741,3172,3195,3420,2993,2917,3492,2666,3021,3364,3195,3099,3210,3463,2657,3132,2422,3409,3288,3231,3389
MD-Prince George's,7131,45,16,19,23,13,15,23,52,23,14,17,20,27,18,24,14,17,21,19,12,22,48,23,19,18,20,21,40,38
MD-Prince George's,8131,1545,2891,1099,1306,1163,1236,1374,1753,2799,1092,1331,1302,1177,1193,1420,2668,947,1186,1280,1268,1553,1413,2836,1134,1151,1599,1293,1530,1325
MD-Prince George's,8121,1239,919,961,925,866,929,1089,1201,926,967,940,1023,956,1077,1075,942,898,882,834,951,991,1026,823,887,799,1077,1014,1142,1106
NV-Clark,7211,37883,33051,26899,26220,30510,30602,34482,37260,28112,21315,19003,20377,25576,40809,54862,50667,34360,23930,24829,28773,38317,47924,35477,28228,24205,28620,28134,32951,36837
NV-Clark,7224,12454,10766,7974,7044,7441,7984,10751,11831,8637,6951,6427,6979,8411,12118,13597,11874,8538,7112,7518,8850,10920,12265,9580,8311,7142,8635,8797,10107,11617
NV-Clark,7225,78323,56755,53638,51589,55988,57362,74044,78328,61728,54504,53442,53735,61823,80360,81611,70272,59548,53458,57754,64063,74350,77263,61730,57233,47778,63169,60926,70114,71657
NV-Clark,7139,22421,17615,18180,17615,20232,21066,23164,22564,16686,18126,17271,18485,19980,24738,35801,33330,25875,19102,19386,20152,23421,25966,20770,20310,16641,20952,20337,20478,20456
NV-Clark,7131,2579,2003,1574,1511,1581,1637,2043,2685,2151,1731,1265,1193,1509,2401,3197,2627,1942,1549,1933,2215,4922,5384,7816,1855,1403,1608,1436,2091,2603
NV-Clark,8131,2697,4807,2571,3054,3212,2962,3333,2660,5553,2866,3047,3508,3038,2891,2267,5149,1108,2943,3308,3099,3029,2263,5266,2718,1713,4583,3077,3098,2279
NV-Clark,8121,4241,3247,3462,3395,3600,3505,4176,3743,2846,3312,3250,3246,3512,4033,3790,3404,3219,3142,3237,3376,3709,3585,2819,3475,2884,3680,3601,3730,3495
NC-Mecklenburg,7211,9852,7289,9301,7802,8201,8412,10445,9990,8530,9729,7737,8850,9531,12341,11087,9132,9221,8208,8997,10140,10863,10247,8918,9730,8335,10845,11714,11401,10500
NC-Mecklenburg,7224,3877,1742,1842,1862,1931,1741,2904,3689,1786,1840,1875,2075,2214,2975,3735,2061,1615,1836,1979,1886,3008,3686,1904,1832,1897,2520,2547,3879,4296
NC-Mecklenburg,7225,44506,25174,29708,30266,30902,27562,40723,39051,26961,30672,31169,31901,32495,41230,38766,26605,28550,29021,30439,30105,37563,39520,26604,29400,25596,35434,36703,40003,40927
NC-Mecklenburg,7139,11207,6690,9438,9800,9740,7477,10625,11427,7567,10131,9879,10648,10190,10231,10899,7424,9350,9287,9813,8285,9741,11319,7005,8908,8007,10973,10007,9551,10472
NC-Mecklenburg,7131,416,173,137,139,142,114,206,347,222,143,164,147,145,201,425,230,173,136,149,126,223,446,244,117,138,155,146,204,438
NC-Mecklenburg,8131,2929,5820,2454,2463,2761,1754,2040,2811,6907,2556,2588,3033,2561,2428,2508,6132,1909,2502,2972,1915,2012,2892,6485,2469,1916,4059,2767,2414,2483
NC-Mecklenburg,8121,3349,2552,3119,3116,4087,4067,4134,3612,2935,3706,4000,4160,4251,3914,3618,3052,3894,4284,4138,4297,4679,4250,1755,2424,2075,2452,2517,2559,2196
LA-Jefferson,7211,1414,1015,1401,1347,1334,1392,1809,1952,1350,1419,1331,1438,1369,1884,1890,1271,1191,1242,1429,1705,1741,2001,1689,1886,1405,1538,1479,1703,1828
LA-Jefferson,7224,1025,698,730,752,677,750,1094,1042,842,723,717,760,771,1030,986,622,625,699,779,836,997,1062,975,928,916,879,920,1004,857
LA-Jefferson,7225,16766,9922,12030,11870,11493,12534,16611,17387,12657,11998,11914,12552,12884,17378,18462,11840,11302,11687,12358,14034,16644,16600,16340,15011,10631,15056,14394,16092,15991
LA-Jefferson,7139,3074,2031,3496,3137,3074,2925,3152,3108,2294,3237,3006,3193,3080,3005,3138,1875,2996,3193,3007,2934,2712,2231,1941,2301,1519,3091,3127,2974,2963
LA-Jefferson,7131,52,17,45,29,35,53,42,42,21,44,35,42,29,30,32,16,43,27,35,39,38,14,17,32,7,44,35,43,33
LA-Jefferson,8131,1082,1996,1139,1048,981,943,1016,1226,1943,1061,1018,1153,971,1073,1116,1538,960,911,1084,994,1188,1256,1724,953,784,1537,1046,934,1093
LA-Jefferson,8121,390,216,392,408,432,445,549,525,315,394,423,448,416,495,471,270,383,436,417,472,526,471,331,427,276,493,515,487,408
CA-Riverside,7211,6070,4322,2380,2490,2746,2968,3959,5097,3078,2599,2569,2664,3180,4327,5544,4348,2947,2683,3231,3605,4097,5048,3204,2969,2683,3450,3307,4243,4839
CA-Riverside,7224,2063,1278,1325,1588,1570,1644,2285,2065,1282,1466,1508,1572,1763,2032,2154,1707,1396,1458,1698,1822,2010,2170,1725,1597,1094,1877,1797,2159,2063
CA-Riverside,7225,57683,37613,41834,42050,44626,46122,57572,58637,45718,42902,42798,45507,48325,60102,54960,48200,43899,42093,44600,48593,55676,54273,47881,44775,24843,48161,47763,57868,56399
CA-Riverside,7139,14872,10438,15441,15158,15987,16107,17026,16518,11768,16214,16442,17037,16630,16351,17330,15053,15097,16057,17423,17985,17787,16916,13515,17883,11598,18309,17948,17441,15714
CA-Riverside,7131,983,550,750,825,857,855,970,1387,937,845,843,855,990,1035,1223,967,774,800,927,918,1176,1282,755,859,549,898,957,1035,1401
CA-Riverside,8131,2617,6188,2782,3184,3523,3090,3296,3183,6456,2305,3095,3536,2900,2235,2516,6036,1195,2703,3537,2881,3048,3259,7090,2882,1704,5292,3163,3129,2720
CA-Riverside,8121,1501,1028,1454,1581,1543,1593,1746,1559,993,1629,1643,1697,1702,1711,1420,1143,1316,1468,1614,1740,1806,1471,1073,1490,970,1848,1750,1792,1511
FL-Broward,7211,7241,5952,6276,4983,5145,5623,7055,9212,6425,5601,5211,5754,6346,8727,9206,8375,7196,5990,6660,7311,7960,8132,7128,6246,6131,7177,6797,7061,7358
FL-Broward,7224,4320,2796,2279,1990,2087,2505,3075,4294,2952,2070,2019,2338,2778,3361,3569,2960,2285,2304,2311,2726,3185,3540,3026,2247,2284,2786,2989,3423,3929
FL-Broward,7225,63833,41474,46396,43711,44437,47367,58774,65724,48872,45754,43926,46484,49857,66065,58877,50150,48006,43103,46878,52862,58963,60623,49531,45484,40733,53585,53947,59784,61020
FL-Broward,7139,16694,12504,16451,16011,16169,15975,16730,18047,13245,17114,16683,16816,16912,18301,17366,14166,16224,16366,16707,18602,17456,16954,14104,17653,14785,19099,18868,17831,16530
FL-Broward,7131,780,355,719,265,301,297,300,760,635,264,230,223,258,395,601,418,379,314,271,395,412,488,782,291,271,348,338,376,633
FL-Broward,8131,2904,4651,3303,3321,3632,2959,3443,3296,5252,3472,3620,3813,3436,2657,3304,5415,1741,3321,3946,3749,3469,3138,5001,3408,2585,5126,3737,3558,3117
FL-Broward,8121,1799,1349,2091,1914,1909,2040,2014,1861,1367,2146,2069,2169,2062,2273,1669,1397,1972,1934,2045,2309,2305,1812,1360,2030,2102,2455,2452,2248,1617
NJ-Hudson,7211,969,658,925,940,886,849,1124,1042,760,932,939,963,890,1300,1406,1004,806,971,940,1013,1150,1181,846,959,972,1167,1070,997,1097
NJ-Hudson,7224,1330,963,1006,959,1000,1001,1204,1298,935,910,973,1022,985,1159,1135,968,793,922,955,1078,1142,1198,952,927,849,1065,1097,1168,1208
NJ-Hudson,7225,20716,15699,19453,19138,18118,17790,20927,19979,15514,18028,18355,19175,17799,21146,18391,15292,14812,16810,17837,18576,20136,19028,16128,18435,14869,20669,20455,20612,18375
NJ-Hudson,7139,2486,1996,2721,2555,2505,2384,2420,2523,1938,2495,2574,2684,2406,2481,2076,1821,2008,2292,2628,2453,2500,2328,1979,2610,2093,3013,2719,2627,2198
NJ-Hudson,7131,145,86,71,50,47,43,71,122,96,51,67,77,42,68,100,99,84,60,62,62,68,118,109,65,32,55,62,82,154
NJ-Hudson,8131,838,1259,831,931,841,865,931,958,1226,822,879,924,793,865,972,1120,643,785,844,859,912,1024,1275,951,778,1233,1030,1076,921
NJ-Hudson,8121,485,370,475,490,440,465,487,512,356,414,469,484,465,468,419,353,414,380,414,492,446,459,421,401,404,535,504,513,472
MA-Middlesex,7211,2017,1147,1755,1831,1891,1594,1754,1923,1279,1827,1995,2033,1764,2753,3233,2534,1797,1710,1898,2322,2637,2798,1403,1828,1898,2275,2199,2705,2934
MA-Middlesex,7224,1635,904,1064,1064,1068,1219,1405,1581,965,1034,1103,1226,1111,1430,1469,1243,982,993,1277,1303,1584,1520,970,1065,976,1417,1398,1604,1595
MA-Middlesex,7225,26579,17818,23101,22612,23269,22538,26430,26052,18984,22564,22256,24364,23565,28443,25556,20908,19682,20507,23121,24832,26064,24707,19427,22642,18592,26046,25962,27362,25745
MA-Middlesex,7139,12108,8211,12109,11728,12532,10962,11501,12299,9061,12075,11841,13102,11597,12042,11244,9319,9325,10196,11631,11688,11252,10362,8729,12120,9381,13373,12782,12674,11791
MA-Middlesex,7131,667,372,426,450,341,346,414,568,387,389,316,333,475,498,576,402,577,528,649,707,850,665,452,391,556,422,400,611,521
MA-Middlesex,8131,1229,2048,1032,1098,1153,881,1173,1132,2253,1047,1055,1161,917,1042,1146,1810,718,774,828,934,1165,1108,1971,1089,830,1574,1120,1398,1261
MA-Middlesex,8121,827,592,872,916,835,857,901,891,557,894,924,1071,925,953,833,629,666,854,919,934,951,811,681,918,800,1171,1163,1074,877
OH-Franklin,7211,6141,2375,2713,2970,3178,3264,3822,4084,2319,3094,3238,3363,2984,5211,6222,3497,2747,2936,3275,3496,5680,7673,3460,3197,3172,3748,3879,4734,5693
OH-Franklin,7224,4270,2207,2139,2122,2177,2333,3479,3860,2111,2310,2254,2408,2411,3656,4085,2419,1859,1930,2154,2447,3638,4360,2344,1997,2029,2462,2747,3566,4008
OH-Franklin,7225,45916,30418,33665,32716,33169,33868,41526,42622,31112,33574,33645,33600,34703,47221,43390,32853,32319,30632,33368,37432,43463,46197,33585,32319,27090,38244,38436,44529,45332
OH-Franklin,7139,8972,6214,7365,8325,7164,6766,8944,10029,5676,8837,7047,6914,6764,8912,7336,6040,6891,6669,7155,9381,7727,9016,5531,8762,6031,7865,7661,9507,8829
OH-Franklin,7131,156,104,89,72,89,72,106,133,128,76,92,84,69,145,165,132,137,72,83,87,104,161,121,79,71,114,97,112,143
OH-Franklin,8131,2439,4563,2189,2090,2504,2102,2303,2495,4800,2094,2324,2332,2047,2168,2437,4393,1824,2091,2590,2392,2421,2743,4928,2214,2114,3549,2472,2596,2447
OH-Franklin,8121,759,512,895,934,917,918,946,806,541,891,872,957,944,870,705,483,803,824,878,966,976,756,596,765,697,989,1034,917,816
VA-Fairfax,7211,1923,1329,1709,1799,1782,1481,1717,1786,1340,1752,1802,1863,1677,2503,3413,2391,1634,1554,1750,1846,2045,1899,1413,1833,1908,2209,2047,1883,1887
VA-Fairfax,7224,1214,695,646,687,742,676,1029,1301,864,642,705,817,770,1129,1269,924,719,589,685,819,1083,1441,907,648,546,827,771,914,1119
VA-Fairfax,7225,27495,18369,23064,22491,22830,22546,26574,27368,20549,22333,22515,23739,23721,27966,25326,21091,22788,20973,22363,24625,25949,25966,20732,22073,17545,24818,24847,25869,25819
VA-Fairfax,7139,6575,4364,6094,6090,5970,5569,6214,6753,5002,5988,5886,6116,5920,5905,6078,5101,6034,5618,5946,6189,6487,6703,4917,5905,4358,5991,5950,5726,6057
VA-Fairfax,7131,88,75,23,35,35,28,37,93,62,38,35,27,22,37,76,57,66,29,41,40,43,78,53,21,18,24,27,29,85
VA-Fairfax,8131,1442,2871,1097,1238,1201,1154,1586,1485,3108,1035,1148,1338,1143,1300,1172,2709,599,1132,1312,1195,1762,1413,2958,1096,947,1692,1222,1453,1278
VA-Fairfax,8121,1135,708,766,786,769,830,972,1259,754,766,768,819,817,970,1232,855,946,752,784,817,899,1059,702,760,633,869,844,908,1085
TN-Shelby,7211,3826,1771,2342,2250,2327,2371,3253,4052,2303,2258,2333,2540,2747,4281,5147,3669,2311,2329,2533,2614,2927,3315,1990,2500,2537,2904,3162,4687,5514
TN-Shelby,7224,2024,1087,1078,971,995,1001,1551,2007,1310,956,1061,1086,1159,1654,2055,1228,955,884,1088,1278,1682,1977,1011,973,976,1150,1312,1865,2315
TN-Shelby,7225,33860,19838,24854,23355,24181,25170,31901,33041,23766,23857,24166,24442,27050,34866,32018,23911,25019,22049,25768,26870,31686,31889,22184,23886,19953,29929,30279,35984,36800
TN-Shelby,7139,5028,3436,5324,5319,5114,5168,5164,5396,3946,5184,5723,5406,5589,5099,4921,3917,5193,5015,5509,5446,5400,5357,3778,5245,4150,5694,5748,5610,5806
TN-Shelby,7131,179,61,43,65,74,68,81,174,86,53,80,84,76,105,173,73,48,57,92,62,87,147,70,40,68,76,74,129,199
TN-Shelby,8131,3312,5865,2418,2448,3202,2388,2457,2981,6233,2282,2579,3630,2813,2792,3385,6048,2171,2419,3588,2801,2997,3459,6524,2683,2869,4617,3135,3022,3367
TN-Shelby,8121,834,490,878,826,817,876,950,910,490,797,881,836,915,981,772,486,810,762,895,905,933,790,478,796,706,1030,1092,1113,889
WI-Milwaukee,7211,3343,1426,1297,1426,1386,1641,2170,2731,1303,1429,1410,1569,1528,2227,2757,1595,1298,1518,1592,1658,1878,2506,1438,1462,1654,1967,1670,2296,2604
WI-Milwaukee,7224,4278,2237,1959,1914,2010,2356,3080,3623,1856,2044,1970,2033,1994,3039,3511,2141,1665,1756,1941,2211,2932,3658,2181,1942,1870,2593,2366,3176,3878
