state,AIC_SD,AIC_SEIR,MSE_SD,MSE_SEIR,sample size
IL-Kane,583.2792672853234,571.7019197203512,17688.62439076018,16630.582786628955,58
IL-Lake,686.6012422625769,748.6331271367636,71445.29786481948,229552.13542222738,60
IL-Will,641.3337170549587,713.9772082467722,48127.82693119921,193304.28485986788,58
IN-Lake,491.2912195651069,654.7950425768909,4181.571653497748,84734.78225589539,57
IN-Marion,742.4140066720906,856.0922626433409,122559.87270307611,872316.3833156691,62
LA-East Baton Rouge,578.4850957943848,726.9369224487501,16285.312272694213,241702.80698940982,58
LA-Jefferson,680.6561318202693,759.8671175052234,38181.154321053014,152420.54007668607,63
LA-Orleans,725.2522405068712,781.8320566017064,46455.31065540313,123590.39743457639,66
MA-Bristol,668.7529027255047,758.3343467279279,37356.88924682791,180262.04607042804,62
MA-Essex,755.2675693978123,890.0149568083804,86972.49702464463,781883.3768751763,65
MA-Hampden,653.2214423841308,781.8886177519151,29078.815540371677,263570.05628196266,62
MA-Middlesex,809.0796269438883,1011.7575440476279,60778.70857209159,1133790.4985567608,72
MA-Norfolk,603.3814283243792,840.6372957851819,3916.594729203509,123906.91238946198,71
MA-Plymouth,626.8996500515784,777.2617002113849,16265.797056269479,200888.07234962535,63
MA-Suffolk,931.546424313033,944.7656103869629,398323.6165353254,537068.9890326879,71
MA-Worcester,742.704422843623,845.3407422632044,60516.60525522295,323508.58918744227,66
MD-Anne Arundel,522.0264092794844,680.3976309911261,6152.373759219261,108343.56380360795,58
MD-Baltimore,600.6461952976409,754.004297445276,17053.37235031345,251049.3864241101,60
MD-Baltimore City,594.7706637707573,677.3031256609856,21564.517783735646,102714.55025245206,58
MD-Montgomery,734.2342796642068,816.8720872589926,53227.87853417092,210162.7870307078,66
MD-Prince George's,737.7242030375259,819.9826450755451,78979.26846067085,323588.7923530426,64
MI-Kent,484.8480117170822,562.9143118594355,2177.718349398535,8928.073633990807,61
MI-Macomb,496.44047149004064,862.4136146823096,2633.5112297735136,1210786.333090708,61
MI-Oakland,611.8637845129659,957.4714051993425,11052.054674067418,2773139.7118121693,64
MI-Wayne,699.4700757934294,1016.8963988373105,51468.81461598939,9013450.800385784,63
MN-Hennepin,625.0030424881919,658.0220261893159,15783.414620612106,30266.89861893013,63
MO-St. Louis,583.7959027022616,836.3807670276974,12877.862681839846,990877.4246630267,60
NJ-Bergen,679.1519682707359,969.4915347371517,19886.38431388763,1707634.9849569541,67
NJ-Burlington,579.7404396322678,692.4729397445093,10318.013718244702,74672.55231158562,61
NJ-Camden,570.3981408966155,692.3979144179754,12047.092930890138,109093.94286315773,59
NJ-Essex,644.6519690760113,912.7477790859219,21560.165122706145,1725583.5800443764,63
NJ-Hudson,773.970153313463,914.3331486201291,167924.9235407098,1769558.1741890816,63
NJ-Mercer,609.2518196766092,729.2995072745598,16738.046937382038,136568.566540905,61
NJ-Middlesex,727.2637435930003,914.638736727707,67070.25919565784,1420089.223949051,64
NJ-Monmouth,603.6202302798177,854.9475319088801,8436.402351753632,455869.57569253456,65
NJ-Morris,496.1249225410516,779.6631271172492,2619.923425777199,311830.54637131206,61
NJ-Ocean,616.2102719012618,806.8370594332092,26187.970836865847,758889.2855020078,59
NJ-Passaic,832.0075168941373,857.4870652546031,645107.602922641,1116844.0610860735,61
NJ-Somerset,507.3021786803795,714.2366812656695,3146.7771362915914,106686.56467640516,61
NJ-Union,660.6363348305554,847.410848567126,38863.42157087502,946790.935802151,61
NV-Clark,630.4494780208006,964.2576779222285,11046.186961887981,1960583.5094266324,66
NY-Bronx,966.7006717298688,1098.9420623454969,1453612.3099521154,11789470.3570727,67
NY-Dutchess,493.8558137159992,694.0702360347082,2524.2565537497767,76653.69197060485,61
NY-Erie,665.9042860196068,795.9156002942182,42368.84668953675,407032.85466164723,61
NY-Kings,965.570051954127,1170.9610527987256,1160388.556985622,26758652.140409227,68
NY-Nassau,881.4709070874602,1090.7822709208992,280143.3245147571,6533783.132754844,69
NY-New York,872.7678028016769,1100.7359658396767,206806.74559669482,6019494.223404343,70
NY-Orange,686.1491282365661,848.6400627917425,41659.62651859932,623742.5987128146,63
NY-Queens,977.5063915921204,1155.501851836439,2122868.207829002,35547901.910797015,66
NY-Richmond,748.3583406411653,889.3038742864898,93255.57045625665,955866.019959671,64
NY-Rockland,946.586975156142,874.9099054664098,1328821.0172639133,506357.6757734943,66
NY-Suffolk,820.9574730039088,1071.5286877433255,198060.0107880867,9959834.63403109,66
NY-Westchester,1154.2601837172326,1117.739934669498,5912653.399544577,4000448.001872858,73
OH-Cuyahoga,654.546696156061,833.8198655545214,21531.92781963773,401689.78849080467,64
OH-Franklin,650.4584825777356,754.9809968614499,46795.09192517616,315115.6086486386,59
PA-Berks,476.9636736873169,654.777740388525,3252.18382074432,84709.06515639662,57
PA-Bucks,585.3200478266962,725.5182913433085,11306.301884488492,128360.1084424819,61
PA-Delaware,606.2249011759016,755.8829052850546,10119.950797003507,118856.289980681,64
PA-Lehigh,478.0821675021643,672.6220566962779,3833.2461303662253,142664.5019358031,56
PA-Luzerne,469.5559872368137,693.8017120352247,3291.8798310361476,208242.62463553966,56
PA-Montgomery,620.4456839300932,837.1660250220953,7251.090255552803,197524.5214843916,68
PA-Northampton,498.1550914784938,670.5411457798022,4076.6009455474673,91411.19221832775,58
PA-Philadelphia,789.9809130272637,922.7342075116419,323906.99107219116,3254804.4209583043,61
RI-Providence,766.3010802659312,776.3985866651875,86525.82349209947,113823.33453132193,66
SD-Minnehaha,587.4247230835798,626.5207634609237,13680.755068598373,29991.803031175434,60
TN-Davidson,691.8732520941174,773.9501288778937,32795.61289473544,131117.36755185577,65
TN-Shelby,590.4035467458428,756.0746549768983,20000.43748711149,399448.00235628436,58
TX-Dallas,786.601918648833,881.3457349157819,169507.92822338312,844100.7243117845,64
TX-Harris,786.5519113625797,1081.5498387312437,60348.08219867196,4576413.943306461,70
TX-Tarrant,652.8706400391911,784.3900425527261,34217.835594533935,336955.3188799781,61
UT-Salt Lake,589.3344391124572,767.8132023384977,10376.819083758875,210039.6603381078,62
VA-Fairfax,666.6572485339004,754.5897365124578,22250.316582189178,97342.98477809824,65
VA-Prince William,471.62434790921105,517.6690696504241,2580.1226236461184,6551.162230066344,58
WA-King,722.8071097213156,1151.4632373712916,9694.491467804286,2814153.0780430045,77
WA-Snohomish,574.5302075819212,971.7843974542146,1896.3864916795915,453211.18102380197,74
WI-Milwaukee,710.0066319017927,839.3775024958852,60838.51173687293,538459.8929403607,63
