state,AIC_SD,AIC_SEIR_SD,MSE_SD,MSE_SEIR_SD,sample size
MI-Wayne,699.4700757934294,719.4565463624913,51468.81461598939,77746.98270431081,63
MN-Hennepin,625.0030424881919,627.5873218702295,15783.414620612106,18087.4455943248,63
MO-St. Louis,583.7959027022616,592.7924099623215,12877.862681839846,16534.54045391735,60
NJ-Bergen,679.1519682707359,672.744457660251,19886.38431388763,19765.797485543244,67
NJ-Burlington,579.7404396322678,498.54105886011837,10318.013718244702,3007.516148905299,61
NJ-Camden,570.3981408966155,431.3036792820948,12047.092930890138,1262.3626041297136,59
NJ-Essex,644.6519690760113,557.0470887068697,21560.165122706145,5903.419996216245,63
NJ-Hudson,773.970153313463,652.3907490260776,167924.9235407098,26813.976881193128,63
NJ-Mercer,609.2518196766092,512.1679673843232,16738.046937382038,3760.3291046977297,61
NJ-Middlesex,727.2637435930003,647.6727816339813,67070.25919565784,21239.909468411726,64
NJ-Monmouth,603.6202302798177,590.8346726869246,8436.402351753632,7600.110315278488,65
NJ-Morris,496.1249225410516,487.37702415849554,2619.923425777199,2504.5211938189236,61
NJ-Ocean,616.2102719012618,563.7430474037666,26187.970836865847,11914.07054939147,59
NJ-Passaic,832.0075168941373,695.3091019001416,645107.602922641,75703.17958489471,61
NJ-Somerset,507.3021786803795,472.2608980626924,3146.7771362915914,1954.8084913343257,61
NJ-Union,660.6363348305554,610.1017046315684,38863.42157087502,18727.21069963775,61
NV-Clark,630.4494780208006,612.088193623822,11046.186961887981,9159.513896934126,66
NY-Bronx,966.7006717298688,828.5141516726538,1453612.3099521154,202122.48003504306,67
NY-Dutchess,493.8558137159992,489.62264509552233,2524.2565537497767,2598.4394000301704,61
NY-Erie,665.9042860196068,608.4367332219488,42368.84668953675,18222.971536681893,61
NY-Kings,965.570051954127,844.3528936938985,1160388.556985622,213180.7114372891,68
NY-Nassau,881.4709070874602,831.7834089975803,280143.3245147571,148732.47156200765,69
NY-New York,872.7678028016769,801.2836395996229,206806.74559669482,81149.79074181526,70
NY-Orange,686.1491282365661,639.5099750471643,41659.62651859932,21855.804690737947,63
NY-Queens,977.5063915921204,851.4782419312074,2122868.207829002,344438.3272246303,66
NY-Richmond,748.3583406411653,704.2533394301752,93255.57045625665,51416.19237565639,64
NY-Rockland,946.586975156142,701.4321550209645,1328821.0172639133,35462.98562423996,66
NY-Suffolk,820.9574730039088,784.4397946647506,198060.0107880867,124733.69239686569,66
NY-Westchester,1154.2601837172326,885.4517242220867,5912653.399544577,161536.97986169398,73
OH-Cuyahoga,654.546696156061,598.585988008411,21531.92781963773,9864.088951854428,64
OH-Franklin,650.4584825777356,613.2939030211413,46795.09192517616,27593.08260914528,59
PA-Berks,476.9636736873169,467.63659212597173,3252.18382074432,3067.7882541737235,57
PA-Bucks,585.3200478266962,484.14545264450993,11306.301884488492,2375.2934645605214,61
PA-Delaware,606.2249011759016,499.6473494562174,10119.950797003507,2102.2002961246226,64
PA-Lehigh,478.0821675021643,473.951494946456,3833.2461303662253,3963.362753373423,56
PA-Luzerne,469.5559872368137,476.16954243585644,3291.8798310361476,4123.4938916685105,56
PA-Montgomery,620.4456839300932,537.8606679735725,7251.090255552803,2351.143023730639,68
PA-Northampton,498.1550914784938,443.8455798489889,4076.6009455474673,1772.411281304437,58
PA-Philadelphia,789.9809130272637,675.7989143350521,323906.99107219116,54980.63440992936,61
RI-Providence,766.3010802659312,742.4122754139765,86525.82349209947,65983.21616184313,66
SD-Minnehaha,587.4247230835798,576.3770013849258,13680.755068598373,12576.895129658356,60
TN-Davidson,691.8732520941174,634.0188722828674,32795.61289473544,14769.06903618347,65
TN-Shelby,590.4035467458428,542.4123038836094,20000.43748711149,9696.521391623433,58
TX-Dallas,786.601918648833,750.4366163334183,169507.92822338312,105801.72791890177,64
TX-Harris,786.5519113625797,777.1816645130144,60348.08219867196,57511.37679229815,70
TX-Tarrant,652.8706400391911,616.7139032374085,34217.835594533935,20871.28482174414,61
UT-Salt Lake,589.3344391124572,527.8948021451683,10376.819083758875,4243.492746479742,62
VA-Fairfax,666.6572485339004,602.1213204700614,22250.316582189178,9041.304774761691,65
VA-Prince William,471.62434790921105,447.89250228249824,2580.1226236461184,1900.4970363232455,58
WA-King,722.8071097213156,676.7477359426882,9694.491467804286,5762.1244035263635,77
WA-Snohomish,574.5302075819212,562.6962659489643,1896.3864916795915,1752.62239863058,74
WI-Milwaukee,710.0066319017927,657.1513820313176,60838.51173687293,28918.712595701843,63
