county,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28
FL-Hillsborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,7,14,20,32,47,58,75,91,106,142,167,195,218,253,305,309,404,463,497,536,571,608,626,644,671,690,759,813,819,869,878,924,943,960,973,979,982,1008,1022,1041,1048,1062,1080,1105,1124,1163,1240,1281,1300,1324,1331,1364,1371,1400,1432,1448,1473,1494,1530,1568,1585,1614,1653,1670,1703,1767,1790,1823,1883,1939,1969,1995,2019,2069,2129,2201,2251,2285,2384,2479,2554,2643,2748,2861,2923,3027,3174,3295,3504,3613,3826,4029,4273,4610,4982,5319,5580,5973,6176,6892,7329,8018,9130,9918,10323,10752,11465,12376,13044,13700,14336,14677,15362,16099,16666,17662,18360,19150,19828,20508,21018,21557,22502,23103,23706,24135,24550,24891,25432,26037,26626,27077,27483,27823,28268,28742,29116,29589,30118,30450,30798,31197,31563,31865,32268,32587,32731,32996,33198,33428,33694,34040,34238,34368,34605,34851,35061,35293,35574,35721,35814,35953,36157,36354,36574,36784,37013,37136,37458,37668,37821,37981,38262,38426,38545,38652,38790,38917,39138,39298,39450,39600,39751,39888,40126,40349,40587,40751,40898,41016,41178,41351,41506,41722,41826,41947,42118,42248,42380,42565,42765,42891,43027,43166,43304,43578,43808,43808,44138,44256,44460,44652,44811,44999,45275,45455,45538,45798,45948,46300,46518,46790,46907,47080,47371,47596,47800,48148,48287,48669,48925,49150,49376,49794,50127,50380,50790,51055,51296,51635,52014,52330,52481,52907,53187,53432,53900,54326,54792,55257,55482,55835,56166,56497,56497,57371,57728,58092,58293,58749,59270,59809,60241,60761,61276,61599,62149,62439,63339,64281,64999,65502,66041,66548,67060,67801,68739,69530,70027,70849,71388,71957,72860,72860,73980,74368,74788
FL-Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,5,5,5,10,11,14,17,26,30,32,42,56,76,101,124,164,206,212,275,304,348,379,397,434,462,496,547,584,617,642,657,677,687,721,739,769,785,795,795,887,940,944,961,971,990,1003,1021,1067,1085,1118,1138,1160,1176,1212,1219,1249,1268,1285,1317,1332,1350,1385,1401,1456,1481,1520,1542,1585,1666,1677,1699,1736,1759,1767,1802,1847,1894,1908,1943,1967,2087,2147,2200,2253,2289,2315,2388,2422,2500,2563,2634,2836,2877,3015,3187,3354,3475,3556,3627,3666,3745,3944,4062,4757,4956,5188,5363,5588,5869,6223,6668,7215,7498,7661,7859,8125,8340,8574,8848,10123,10344,10631,10849,11721,12043,12397,12711,12906,13125,13395,13768,14046,14292,14415,14540,14716,14877,15137,15416,15551,15674,15799,15874,15961,16090,16248,16431,16529,16632,16718,16872,17039,17178,17305,17401,17451,17495,17596,17730,17816,17956,18009,18064,18140,18217,18332,18461,18584,18634,18673,18824,18878,18960,19018,19099,19134,19176,19210,19241,19309,19370,19451,19488,19525,19566,19617,19733,19807,19884,19964,20025,20063,20124,20191,20244,20326,20377,20388,20445,20516,20586,20638,20743,20780,20824,20862,20944,21089,21175,21175,21332,21363,21438,21489,21613,21753,21883,21962,22023,22117,22198,22341,22480,22619,22711,22887,23058,23195,23335,23517,23589,23685,23834,23980,24152,24328,24508,24655,24842,24929,25067,25316,25457,25716,25885,26226,26438,26702,26989,27275,27585,27891,28115,28279,28608,28881,28881,29334,29613,29868,30113,30457,30856,31243,31571,31897,32209,32476,32790,33132,33431,33829,34177,34478,34717,35031,35353,35759,36145,36520,36795,37170,37507,37909,38288,38288,38575,39003,39332
FL-Miami-Dade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13,13,40,76,101,124,169,227,278,338,400,616,763,1003,1192,1632,2123,2202,2886,3364,3890,4146,4481,4997,5354,5745,6119,6487,7058,7459,7712,8066,8326,8824,9045,9354,9657,10056,10153,10588,10926,11005,11351,11570,11831,11927,12063,12389,12632,12775,13092,13224,13371,13585,13664,13841,14007,14167,14385,14468,14742,15011,15366,15658,15864,15942,16034,16367,16522,16694,16845,17041,17168,17225,17396,17641,17826,18000,18139,18224,18456,18779,19056,19299,19547,19756,19980,20277,20548,20872,21633,21917,22197,22741,23273,23854,24376,25080,25790,26239,26822,27779,28664,30196,31562,33714,35222,36820,37961,40265,42311,44729,47011,48992,51058,53974,55961,58341,60868,64444,67713,69803,72317,75425,77867,81026,84238,87035,89557,92345,95068,98430,101854,104755,107315,110352,113143,115916,118462,121207,122690,123644,124759,125949,127677,129409,131217,132461,133623,135130,139271,140984,142662,144407,145307,146026,146990,148093,149162,150305,151214,151986,152612,153385,154135,154757,155418,156038,156559,156910,159059,159400,159978,160469,161018,161363,161637,162026,162433,162894,163375,163790,164086,164299,164688,165147,165595,165980,166516,166881,167153,167515,167880,168272,168775,169144,169426,169466,170086,170400,170882,171391,171876,172205,172398,172849,173280,173721,174112,174112,175118,175397,175837,176271,176809,177339,177893,178354,178726,179286,179644,180497,181017,181633,181942,182523,183250,183996,184669,185552,185891,186809,187757,188636,189332,190728,191838,192646,194356,194879,195273,195991,197196,199072,200259,202644,203654,205536,207221,209166,211257,213197,214943,216442,218294,220414,220414,224166,225632,227656,229618,231761,234054,236308,238813,241051,243050,245064,246915,249043,251283,253403,255462,257857,260138,262298,264673,267255,269716,272098,274117,276414,278739,280982,283285,283285,286662,288306,290363
FL-Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,9,19,23,29,33,48,50,77,110,156,206,246,293,373,392,541,602,657,713,744,763,803,857,895,914,949,1024,1038,1073,1114,1158,1180,1198,1216,1235,1251,1274,1290,1304,1322,1339,1363,1371,1385,1413,1422,1434,1438,1446,1460,1474,1478,1505,1505,1512,1537,1553,1577,1615,1629,1655,1679,1699,1708,1726,1744,1768,1808,1831,1849,1877,1902,1945,1976,2002,2031,2048,2121,2169,2210,2256,2316,2378,2449,2542,2678,2773,2937,3130,3282,3437,3584,3900,4274,4569,4914,5157,5502,6056,6786,7848,8837,9671,10014,10314,10874,11458,12078,13262,14032,14407,14768,15194,15595,16148,16630,18001,18937,19377,19909,21299,22049,22518,23259,23584,24011,24700,25254,25952,26559,26980,27393,27820,28191,28591,29011,29466,29699,29927,30140,30425,30776,31026,31395,31719,31851,32042,32341,32575,32861,33180,33382,33486,33709,33946,34135,34321,34538,34662,34781,34910,35083,35245,35449,35613,35770,35902,36400,36488,36668,36827,36966,37074,37152,37247,37366,37473,37701,37846,37939,38013,38147,38242,38422,38623,38818,38971,39056,39232,39412,39560,39717,39875,39973,39990,40224,40329,40485,40659,40841,40940,41055,41218,41409,41571,41822,41822,42105,42219,42401,42572,42778,43044,43302,43453,43621,43943,44112,44435,44605,44921,45042,45242,45492,45755,45941,46424,46434,46725,46986,47346,47655,48015,48322,48596,48729,49029,49422,49752,50135,50446,50830,51575,51888,52298,52862,53384,53941,54341,54636,55047,55526,55966,55966,57101,57321,57805,58325,58862,59218,59791,60392,61030,61474,62041,62041,62041,62041,62522,63281,63814,64593,65251,65975,66786,67577,68367,68858,69491,70103,70814,71524,71524,72663,73050,73691
FL-Palm Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,13,19,29,42,56,72,89,101,118,169,194,292,333,423,551,567,737,858,954,1000,1069,1136,1206,1260,1388,1441,1646,1704,1740,1814,1867,2088,2138,2170,2260,2320,2403,2554,2600,2614,2697,2763,2877,2911,2963,3041,3080,3130,3311,3390,3480,3587,3615,3798,3870,3889,4093,4176,4278,4391,4440,4524,4658,4699,4776,4968,5072,5140,5201,5355,5429,5455,5541,5765,5898,5996,6135,6219,6477,6688,6859,7074,7230,7329,7518,7678,7887,8209,8442,8833,9015,9262,9472,9854,10116,10506,10754,10943,11180,11536,11840,12498,12928,13389,13711,14150,14447,14859,15324,16149,16836,17242,17638,18231,18656,19233,19847,21018,21806,22279,22788,23711,24361,25045,25785,26426,26951,27506,28267,29004,29707,30325,30958,31598,32171,32696,33274,33854,34226,34550,34929,35283,35737,36114,36600,37020,37297,37641,37934,38208,38575,38902,39129,39274,39460,39662,39886,40157,40387,40570,40746,40853,41013,41195,41558,41730,41865,41965,42387,42518,42643,42762,42905,43067,43187,43309,43422,43532,43724,43873,44025,44139,44305,44459,44683,44906,45156,45329,45425,45602,45743,45866,46023,46183,46283,46310,46485,46552,46698,46833,46962,47079,47153,47244,47384,47525,47648,47648,47955,48004,48176,48337,48496,48674,48870,49011,49068,49298,49380,49759,49988,50316,50525,50816,51172,51415,51779,52184,52447,52779,53151,53511,53802,54260,54624,55002,55449,55816,56145,56509,56907,57361,57661,58396,58754,59154,59656,60219,60729,61305,61776,62278,62697,63146,63146,64300,64670,65011,65372,65936,66427,67106,67736,68381,68912,69331,69855,70314,70966,71691,72247,72708,73079,73542,73998,74789,75572,76143,76602,77241,77743,78187,78852,78852,79830,80239,80865
FL-Pinellas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,10,16,22,29,38,41,45,50,64,77,94,113,126,167,170,273,318,342,359,362,380,394,413,428,444,455,479,494,513,530,565,587,592,607,632,638,656,673,677,687,698,709,718,729,748,757,766,784,788,801,820,828,848,861,876,909,923,962,997,1008,1022,1051,1062,1075,1109,1116,1153,1173,1187,1196,1205,1218,1238,1262,1297,1313,1335,1361,1397,1478,1532,1584,1638,1679,1746,1862,1941,2103,2235,2389,2523,2684,2887,3153,3438,3667,3854,4033,4387,4669,5099,5713,6020,6260,6487,6861,7249,7697,8116,8533,8759,9032,9395,9826,10293,10596,10844,11442,11754,12080,12368,12714,13019,13482,13705,13925,14191,14371,14726,14985,15147,15339,15541,15800,16114,16356,16604,16774,16886,17047,17202,17358,17541,17725,17879,17941,18103,18217,18329,18466,18660,18730,18774,18876,18994,19087,19247,19352,19431,19478,19522,19605,19681,19740,19813,19888,19929,20026,20080,20177,20259,20355,20425,20474,20526,20588,20655,20795,20872,20922,20988,21081,21152,21254,21359,21440,21498,21561,21620,21701,21765,21845,21964,22004,22049,22129,22181,22266,22347,22441,22509,22548,22603,22697,22822,22910,22910,23161,23215,23367,23510,23623,23746,23982,24099,24169,24327,24422,24650,24789,24986,25130,25244,25414,25534,25674,25921,25986,26214,26339,26477,26679,26884,27192,27372,27675,27849,28032,28242,28486,28746,28865,29106,29297,29509,29737,30006,30286,30611,30878,31137,31464,31795,31795,32408,32630,32808,33058,33246,33493,33857,34152,34603,34899,35202,35505,35883,36426,36962,37387,37753,38118,38457,38783,39337,39846,40299,40560,40987,41280,41654,42176,42176,42973,43210,43480
FL-Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,10,11,13,13,14,17,26,34,39,55,73,76,103,126,142,157,176,197,206,212,237,242,254,270,279,286,304,316,320,326,335,356,361,379,393,400,410,441,457,468,483,500,514,523,536,547,564,594,601,623,636,655,675,687,698,716,722,736,746,766,786,822,840,853,869,878,891,907,939,977,1005,1027,1038,1053,1074,1100,1127,1145,1178,1206,1243,1287,1325,1373,1414,1466,1509,1566,1634,1702,1856,1970,2042,2225,2279,2454,2571,2780,3182,3495,3682,3836,4048,4327,4660,4906,5196,5472,5665,5895,6206,6611,6983,7246,7630,7881,8206,8498,8772,9030,9524,9877,10072,10309,10545,10909,11197,11423,11717,11893,12059,12281,12488,12735,12991,13137,13231,13419,13654,13839,14124,14301,14475,14645,14812,14992,15108,15312,15429,15506,15607,15723,15887,16015,16158,16251,16322,16388,16498,16569,16692,16803,16894,17011,17159,17292,17418,17566,17693,17799,17863,17932,18025,18121,18228,18337,18473,18523,18612,18674,18783,18915,19035,19126,19243,19339,19452,19551,19647,19765,19849,19888,19974,20032,20120,20217,20354,20425,20500,20587,20687,20814,20929,20929,21118,21157,21280,21354,21456,21572,21713,21780,21837,21981,22061,22256,22332,22481,22541,22634,22762,22852,22960,23088,23164,23306,23405,23525,23612,23763,23879,23966,24129,24227,24440,24661,24829,24941,25020,25252,25379,25531,25696,25897,26091,26253,26352,26504,26691,26833,26833,27149,27300,27481,27611,27822,28101,28399,28640,28918,29135,29362,29734,29938,30365,30628,30967,31173,31383,31668,31996,32432,32809,33142,33384,33741,34032,34349,34845,34845,35393,35656,35942
GA-Cobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,7,8,8,15,19,22,25,28,37,47,50,67,79,86,101,115,144,181,222,245,279,293,329,381,428,456,515,550,588,629,662,696,714,782,895,924,990,1072,1100,1125,1196,1215,1272,1326,1368,1395,1428,1483,1515,1571,1614,1677,1749,1768,1840,1886,1999,2024,2072,2128,2175,2186,2253,2280,2363,2395,2407,2407,2429,2503,2584,2625,2655,2661,2702,2795,2854,2907,2948,2987,3009,3027,3052,3056,3097,3165,3223,3242,3249,3298,3337,3370,3471,3522,3557,3581,3618,3679,3712,3751,3807,3841,3893,3969,4134,4269,4347,4433,4526,4607,4630,4877,5081,5301,5507,5679,5758,5857,6082,6255,6369,6708,6940,7049,7235,7388,7571,7713,7972,8223,8370,8510,8759,8966,9380,9717,10009,10120,10240,10453,10653,10920,11206,11436,11690,11844,12135,12489,12718,13049,13336,13564,13729,14006,14279,14463,14690,14826,14893,14962,15086,15247,15449,15687,15816,15931,16055,16144,16369,16536,16630,16840,16896,16966,17097,17210,17375,17479,17595,17734,17792,17850,18005,18155,18255,18433,18495,18550,18601,18719,18839,18941,19000,19041,19092,19174,19283,19354,19430,19513,19551,19576,19634,19740,19829,19872,19968,20010,20054,20120,20224,20294,20367,20439,20545,20610,20679,20838,20924,21041,21118,21158,21196,21255,21367,21453,21563,21676,21750,21814,21867,21977,22059,22132,22342,22375,22430,24621,24852,25012,25225,25338,25443,25525,25917,26068,26229,26369,26606,26758,26826,27152,27415,27641,27899,28464,28637,28764,28966,29223,29421,29639,29833,29937,30075,30411,30827,31222,31690,31984,32108,32429,32866,33230,33719,34198,34687,35101,35427,35876,36410,36985,37583,38123,38585,38829,39409,39869,40644,41180,41479,41711,42088
GA-DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,10,10,15,18,22,36,41,53,75,94,116,129,181,240,272,281,335,365,396,448,500,543,579,645,706,742,795,835,869,980,1144,1191,1247,1349,1396,1452,1521,1534,1609,1689,1721,1788,1800,1855,1887,1970,2026,2072,2148,2183,2259,2284,2357,2396,2445,2489,2535,2555,2605,2632,2664,2751,2800,2802,2856,2918,2979,3038,3080,3146,3257,3305,3421,3573,3635,3718,3731,3734,3795,3803,3874,3939,3986,4008,4012,4054,4120,4186,4229,4282,4303,4311,4355,4411,4489,4541,4637,4666,4694,4791,5042,5158,5258,5322,5404,5448,5469,5841,5959,6172,6381,6689,6905,7050,7158,7362,7472,7973,8144,8253,8618,8784,8980,9165,9308,9597,9732,9800,9950,10203,10480,10767,11025,11159,11281,11494,11679,11916,12127,12348,12476,12604,12760,12998,13237,13509,13752,13923,14047,14292,14485,14563,14746,14926,15030,15101,15312,15422,15605,15731,15860,15959,16004,16086,16193,16278,16368,16443,16498,16555,16650,16716,16837,16900,17004,17089,17100,17169,17237,17314,17380,17477,17536,17610,17698,17777,17849,17907,18006,18072,18110,18192,18302,18418,18521,18600,18647,18699,18773,18859,18938,19030,19084,19128,19166,19263,19389,19473,19571,19613,19702,19743,19797,19857,19969,20088,20182,20275,20306,20394,20482,20583,20769,20883,20977,21049,21101,21231,21335,21441,21587,21678,21744,22822,23087,23241,23404,23470,23642,23731,23989,24145,24352,24521,24743,24915,24961,25243,25468,25674,25917,26296,26489,26592,26748,26912,27104,27305,27465,27548,27645,27876,28195,28509,28943,29265,29482,29705,30064,30346,30736,31061,31421,31741,31935,32331,32635,32997,33361,33717,34026,34143,34655,35006,35610,35978,36195,36358,36674
GA-Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,5,5,7,7,8,13,20,27,33,49,66,88,99,111,145,184,198,211,307,373,407,463,570,624,712,882,941,962,1027,1124,1240,1276,1364,1422,1467,1598,1812,1844,1929,2025,2054,2110,2198,2208,2255,2436,2500,2543,2545,2680,2727,2770,2811,2882,2928,2979,3065,3164,3251,3258,3317,3385,3508,3516,3595,3614,3625,3703,3749,3761,3761,3795,3795,3872,3931,3977,4054,4080,4230,4309,4367,4490,4507,4524,4621,4638,4688,4724,4790,4822,4823,4887,4925,4989,5031,5069,5100,5106,5157,5157,5292,5325,5400,5444,5496,5705,5885,6052,6163,6350,6506,6610,6648,6965,7277,7527,7913,8433,8652,8883,9066,9358,9586,10021,10354,10595,11080,11354,11746,12184,12584,12872,13117,13379,13779,14169,14673,15221,15649,15843,16073,16482,16867,17286,17646,17858,18079,18224,18566,18996,19230,19647,20049,20276,20468,20874,21140,21373,21601,21867,21993,22107,22484,22760,23068,23375,23622,23751,23825,23987,24211,24378,24586,24747,24801,24891,25063,25150,25339,25439,25540,25631,25681,25756,25861,25934,26022,26108,26225,26289,26360,26517,26620,26778,26910,26992,27080,27122,27247,27305,27389,27480,27529,27605,27650,27684,27790,27855,27994,28096,28198,28258,28392,28581,28834,28942,29072,29170,29274,29329,29429,29562,29678,29819,29885,29996,30141,30264,30540,30691,30838,30926,31038,31220,31315,31428,31655,31753,31843,33878,34112,34329,34525,34644,34833,34946,35322,35500,35756,35994,36266,36425,36496,37154,37381,37638,37930,38578,38774,38981,39385,39692,39942,40185,40486,40630,40794,41231,41629,42130,42719,43169,43415,43802,44493,44901,45471,45902,46499,46896,47182,47904,48414,49072,49716,50078,50599,50890,51860,52321,53253,53911,54285,54514,54826
GA-Gwinnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,5,7,7,12,23,23,27,34,45,48,75,102,129,143,158,238,250,282,329,364,408,443,525,565,603,646,675,690,739,815,852,896,1017,1050,1099,1181,1222,1273,1351,1382,1460,1504,1545,1603,1720,1787,1846,1934,1976,2056,2102,2222,2253,2323,2403,2447,2475,2496,2510,2552,2597,2597,2597,2680,2771,2820,2882,2961,2997,3056,3198,3307,3480,3619,3733,3769,3780,3870,3891,4063,4267,4372,4433,4440,4598,4692,4808,4980,5089,5141,5172,5308,5451,5658,5753,5958,6043,6151,6407,6636,7036,7223,7463,7604,7685,7755,8082,8362,8619,9085,9482,9645,9787,9972,10237,10415,10741,11074,11304,11691,11882,12217,12489,12897,13234,13444,13614,13878,14099,14442,14801,15134,15315,15534,15915,16255,16711,17130,17511,17781,17927,18201,18550,18854,19187,19548,19808,19971,20382,20685,20900,21175,21411,21534,21655,21936,22196,22455,22786,22991,23096,23178,23411,23636,23812,23972,24137,24182,24252,24477,24608,24763,24870,25019,25107,25127,25215,25376,25495,25611,25726,25806,25863,26019,26133,26280,26403,26550,26618,26678,26744,26931,27051,27187,27296,27358,27424,27519,27647,27733,27844,27986,28074,28129,28207,28328,28461,28593,28712,28796,28861,29015,29157,29295,29418,29558,29689,29748,29866,29916,29959,30109,30204,30306,30383,30489,30596,30746,30894,31102,31218,31348,33465,33721,33864,34112,34224,34383,34491,34880,35082,35316,35549,35812,35995,36087,36485,36713,36973,37236,37766,37946,38123,38432,38672,38986,39249,39510,39694,39906,40332,40884,41349,42016,42427,42632,43025,43747,44287,45002,45489,46030,46579,46962,47725,48257,48941,49541,50023,50561,50824,51683,52387,53261,53692,54074,54368,54894
IL-Cook,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,11,22,27,40,50,50,62,107,178,278,278,548,805,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111,7439,8034,8728,9509,10520,11415,12472,13417,14585,15474,16323,17306,18087,19391,20395,21272,22101,23181,24546,25811,27616,29058,30574,31953,33449,34880,36513,38668,40227,42324,43715,45223,46689,48341,50236,51674,52655,53381,55470,56406,58457,59905,61212,62218,63690,64691,66213,67551,68949,70417,72010,73097,73819,74521,75306,76266,77119,77925,78495,79673,80204,80713,81344,81924,82427,82819,83271,83585,83978,84249,84581,84906,85184,85538,85858,86179,86551,86885,87177,87424,87784,88138,88650,89068,89407,89755,90122,90536,90911,91381,91774,92240,92532,92781,93053,93496,94005,94605,95138,95557,95884,96186,96662,97214,97790,98292,98670,99052,99464,100124,100795,101411,101955,102583,103008,103441,104001,104687,105493,106131,106713,107247,107744,108425,109150,110002,110865,111447,111948,112484,113044,113788,114724,115344,115960,116620,117171,118012,118757,119644,120567,121308,121877,122423,123172,123691,124573,125124,126003,126577,126992,127616,128012,129545,130616,131078,131622,132072,132401,132963,133686,134352,134801,135274,135690,136246,136993,137580,138576,139088,139583,140078,140623,141430,142215,143084,143634,144315,144697,145462,146152,146917,147841,148381,149127,149588,150400,151470,152387,153514,154519,155567,156726,157573,159035,160645,162220,163912,165198,166457,168139,170039,171437,173817,175586,177465,178832,181108,183649,186405,189660,193102,195740,198184,201176,204977,210266,214924,218662,223110,227425,231462,236717,242662,246392,251101,255608,260004,262429,268284,272733,277026,280896,284217,287124,291312,296129,298870,301582,304220,306369,310722,314134,318324,322122,325813,329003,332693,335204,338093,342654,346004,349461,352409,355467,358014,360117,363261,366020,368824,371088,373008,375360,377709,380096,382213,383480,384931,386469
