County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,8/31/2020,,22,,0.00,0.00,1485.086087339,448,1604.714285714,411,1519.571428571,190663,37,85.142857143,16461,207124,165983,17529,568,5464,,157,2141,2463,999,33,,,,126,32,,,,126,126,126,,32,32,32,28,28,28,0,1,1,16461,23,546,1,,0.434276460,0.037493509,0.471769969,5.31%,0,176,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,28
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/7/2020,,22,,0.00,0.00,1485.086087339,1099,1572.285714286,1038,1494.571428571,71657,61,77.714285714,7842,79499,165983,17529,568,5464,,157,2141,2463,1000,29,,,,126,32,,,,126,126,126,,32,32,32,28,28,28,0,1,1,7862,31,459,1,,0.163214406,0.017861861,0.181076267,4.94%,0,91,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,28
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/10/2020,,22,,0.00,0.00,1485.086087339,1166,1521.857142857,1090,1445.428571429,75135,76,76.428571429,7951,83086,165983,17529,568,5464,,157,2141,2463,926,27,,,,117,30,,,,117,117,117,,30,30,30,26,26,26,0,1,1,7971,31,463,1,,0.171136308,0.018110132,0.189246440,5.02%,0,94,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,26
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/11/2020,,22,,0.00,0.00,1485.086087339,2745,2971.285714286,2435,2685.428571429,121178,310,285.857142857,10980,132158,165983,17529,568,5464,,157,2141,2463,858,29,,,,108,29,,,,108,108,108,,29,29,29,26,26,26,0,1,1,10995,183,491,1,,0.276009257,0.025009339,0.301018595,9.62%,0,125,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,26
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/11/2020,,22,,0.00,0.00,1485.086087339,1722,1525.571428571,1642,1449.142857143,76601,80,76.428571429,8012,84613,165983,17529,568,5464,,157,2141,2463,907,26,,,,114,29,,,,114,114,114,,29,29,29,26,26,26,0,1,1,8032,61,464,1,,0.174475442,0.018249073,0.192724515,5.01%,0,95,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,26
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/10/2020,,22,,0.00,0.00,1485.086087339,3633,2579.142857143,3250,2337.571428571,120152,383,241.571428571,10797,130949,165983,17529,568,5464,,157,2141,2463,837,28,,,,106,28,,,,106,106,106,,28,28,28,26,26,26,0,1,1,10812,268,490,1,,0.273672318,0.024592516,0.298264835,9.37%,0,124,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,26
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,9/4/2020,,22,,0.00,0.00,1485.086087339,1702,1630.285714286,1612,1544.428571429,194866,90,85.857142857,16678,211544,165983,17529,568,5464,,157,2141,2463,895,30,,,,113,29,,,,113,113,113,,29,29,29,25,25,25,0,1,1,16678,49,553,1,,0.443849707,0.037987773,0.481837480,5.27%,0,180,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,25
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/12/2020,,22,,0.00,0.00,1485.086087339,1769,1523.857142857,1675,1445.428571429,77944,94,78.428571429,8071,86015,165983,17529,568,5464,,157,2141,2463,887,26,,,,112,29,,,,112,112,112,,29,29,29,25,25,25,0,1,1,8091,59,465,1,,0.177534416,0.018383458,0.195917875,5.15%,0,96,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,25
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/9/2020,,22,,0.00,0.00,1485.086087339,2107,2433.428571429,1837,2208,118182,270,225.428571429,10529,128711,165983,17529,568,5464,,157,2141,2463,818,27,,,,103,28,,,,103,103,103,,28,28,28,25,25,25,0,1,1,10544,92,489,1,,0.269185215,0.023982088,0.293167303,9.26%,0,123,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,25
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/14/2020,,22,,0.00,0.00,1485.086087339,889,1940.571428571,828,1842.142857143,82964,61,98.428571429,8359,91323,165983,17529,568,5464,,157,2141,2463,859,25,,,,108,28,,,,108,108,108,,28,28,28,24,24,24,0,1,1,8379,40,466,1,,0.188968558,0.019039441,0.208007999,5.07%,0,98,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,24
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/7/2020,,22,,0.00,0.00,1485.086087339,5102,2629.285714286,4811,2403.857142857,117087,291,225.428571429,10256,127343,165983,17529,568,5464,,157,2141,2463,789,26,,,,99,27,,,,99,99,99,,27,27,27,24,24,24,0,1,1,10272,175,488,1,,0.266691114,0.023360271,0.290051385,8.57%,0,121,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,24
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/15/2020,,22,,0.00,0.00,1485.086087339,1673,1956.714285714,1574,1850.285714286,83931,99,106.428571429,8397,92328,165983,17529,568,5464,,157,2141,2463,841,25,,,,106,27,,,,106,106,106,,27,27,27,24,24,24,0,1,1,8416,37,467,1,,0.191171111,0.019125994,0.210297105,5.44%,0,99,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,24
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,9/9/2020,,22,,0.00,0.00,1485.086087339,3421,1481.571428571,3252,1401,199573,169,80.571428571,16871,216444,165983,17529,568,5464,,157,2141,2463,799,27,,,,101,26,,,,101,101,101,,26,26,26,23,23,23,0,1,1,16871,46,557,1,,0.454570924,0.038427373,0.492998296,5.44%,0,185,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,23
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/5/2020,,22,,0.00,0.00,1485.086087339,2811,2413.714285714,2513,2210.285714286,113111,298,203.428571429,10008,123119,165983,17529,568,5464,,157,2141,2463,763,25,,,,96,26,,,,96,96,96,,26,26,26,23,23,23,0,1,1,10024,150,487,1,,0.257634909,0.022795397,0.280430306,8.43%,0,119,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,23
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/17/2020,,22,,0.00,0.00,1485.086087339,2183,2168.857142857,2021,2051.285714286,86663,162,117.571428571,8488,95151,165983,17529,568,5464,,157,2141,2463,804,24,,,,101,26,,,,101,101,101,,26,26,26,23,23,23,0,1,1,8507,39,472,1,,0.197393836,0.019333267,0.216727102,5.42%,0,101,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,23
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,9/10/2020,,22,,0.00,0.00,1485.086087339,1144,1451.714285714,1093,1376.714285714,200651,51,75,16920,217571,165983,17529,568,5464,,157,2141,2463,787,26,,,,99,26,,,,99,99,99,,26,26,26,22,22,22,0,1,1,16920,49,558,1,,0.457026303,0.038538981,0.495565284,5.17%,0,186,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,22
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,9/11/2020,,22,,0.00,0.00,1485.086087339,2943,1629,2861,1555.142857143,203185,82,73.857142857,16974,220159,165983,17529,568,5464,,157,2141,2463,775,26,,,,98,25,,,,98,98,98,,25,25,25,22,22,22,0,1,1,16974,54,559,1,,0.462798039,0.038661978,0.501460017,4.53%,0,187,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,22
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,7/2/2020,,22,,0.00,0.00,1485.086087339,2408,2481.857142857,2190,2292.285714286,111156,218,189.571428571,9695,120851,165983,17529,568,5464,,157,2141,2463,735,23,,,,93,25,,,,93,93,93,,25,25,25,22,22,22,0,1,1,9712,75,486,1,,0.253181971,0.022082472,0.275264443,7.64%,0,116,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,22
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/30/2020,,22,,0.00,0.00,1485.086087339,3893,2201.571428571,3727,2046.285714286,109300,166,155.285714286,9472,118772,165983,17529,568,5464,,157,2141,2463,740,23,,,,93,25,,,,93,93,93,,25,25,25,22,22,22,0,1,1,9489,86,484,1,,0.248954528,0.021574541,0.270529068,7.05%,0,114,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,22
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,6/25/2020,,22,,0.00,0.00,1485.086087339,2063,2864.285714286,1903,2746.142857143,102941,160,118.142857143,9055,111996,165983,17529,568,5464,,157,2141,2463,746,22,,,,94,25,,,,94,94,94,,25,25,25,22,22,22,0,1,1,9074,71,480,1,,0.234470522,0.020624732,0.255095254,4.12%,0,109,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,,,,22
